Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,604,1157,9,4,3,1,2,2.23,153,267,420
Zero-shot,default,604,1288,11,5,2,1,2,2.04,153,299,452
Zero-shot,creative,604,947,10,5,3,3,2,1.94,153,227,380
Few-shot,precise,1496,2551,13,7,4,1,2,3.68,339,550,889
Few-shot,default,1496,2488,13,6,4,1,2,3.48,339,559,898
Few-shot,creative,1496,4605,13,6,2,1,1,5.72,339,991,1330
Chain-of-Thought,precise,1663,1551,15,7,3,2,1,3.28,383,355,738
Chain-of-Thought,default,1663,1482,15,7,2,2,2,2.93,383,352,735
Chain-of-Thought,creative,1663,1535,14,7,4,2,1,2.64,383,342,725
Self-Consistency,precise,1278,2003,18,6,3,1,2,2.85,278,453,731
Self-Consistency,default,1278,1934,18,9,1,1,1,2.97,278,465,743
Self-Consistency,creative,1278,1940,20,8,2,2,1,3.56,278,458,736
System Prompt,precise,820,2243,10,5,4,1,3,3.99,192,474,666
System Prompt,default,820,1700,9,4,3,1,2,2.82,192,381,573
System Prompt,creative,820,1962,10,5,5,1,3,3.23,192,418,610
Role Prompt,precise,1075,2405,20,10,3,2,1,3.65,232,548,780
Role Prompt,default,1075,2335,20,10,2,1,1,3.75,232,520,752
Role Prompt,creative,1075,2501,20,10,2,1,1,4.06,232,579,811
Contextual,precise,778,1709,9,5,4,1,3,3.01,180,424,604
Contextual,default,778,1493,11,6,3,2,3,2.65,180,357,537
Contextual,creative,778,2061,13,8,4,2,2,3.29,180,472,652
Tree of Thoughts,precise,1759,1301,11,5,2,1,1,2.39,394,315,709
Tree of Thoughts,default,1759,965,10,5,2,2,1,1.88,394,224,618
Tree of Thoughts,creative,1759,1360,13,5,2,1,1,2.55,394,318,712
ReAct,precise,1825,1041,9,3,4,1,1,1.61,432,223,655
ReAct,default,1825,1023,9,3,5,3,1,1.86,432,219,651
ReAct,creative,1825,972,9,3,4,2,1,1.83,432,216,648
