Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,631,1156,10,4,3,1,1,2.02,161,257,418
Zero-shot,default,631,1316,10,4,4,1,1,2.26,161,300,461
Zero-shot,creative,631,1511,11,4,3,1,1,2.25,161,326,487
Few-shot,precise,1523,3154,14,6,3,1,1,4.19,347,722,1069
Few-shot,default,1523,4174,15,7,3,1,1,5.62,347,951,1298
Few-shot,creative,1523,1917,13,5,4,1,1,2.76,347,433,780
Chain-of-Thought,precise,1690,1401,12,5,4,1,1,2.24,391,302,693
Chain-of-Thought,default,1690,1372,12,5,4,1,1,2.05,391,303,694
Chain-of-Thought,creative,1690,1748,13,5,4,1,1,2.64,391,375,766
Self-Consistency,precise,1305,2079,18,6,3,1,1,3.37,286,488,774
Self-Consistency,default,1305,2381,21,6,3,2,1,3.57,286,529,815
Self-Consistency,creative,1305,1934,16,7,3,2,1,3.08,286,453,739
System Prompt,precise,847,3166,10,4,3,1,1,4.49,200,669,869
System Prompt,default,847,2579,10,4,4,1,1,3.47,200,527,727
System Prompt,creative,847,1686,10,4,5,1,2,2.95,200,391,591
Role Prompt,precise,1102,3047,20,10,3,1,1,4.20,240,650,890
Role Prompt,default,1102,2173,16,6,4,1,1,3.16,240,468,708
Role Prompt,creative,1102,2454,18,8,4,2,1,3.61,240,536,776
Contextual,precise,810,2129,17,9,4,1,2,3.24,190,469,659
Contextual,default,810,2448,14,8,4,1,2,3.37,190,539,729
Contextual,creative,810,1954,14,7,4,2,2,3.06,190,406,596
Tree of Thoughts,precise,1786,1434,15,6,4,1,1,2.42,402,326,728
Tree of Thoughts,default,1786,1055,11,5,3,1,1,1.96,402,242,644
Tree of Thoughts,creative,1786,1318,13,4,4,2,2,2.35,402,309,711
ReAct,precise,1852,1062,9,3,4,1,1,1.93,440,250,690
ReAct,default,1852,1098,9,3,4,1,1,1.84,440,250,690
ReAct,creative,1852,1277,9,3,4,1,1,2.13,440,275,715
