Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,605,1249,12,4,3,2,2,2.26,159,291,450
Zero-shot,default,605,1266,9,4,4,2,2,2.31,159,288,447
Zero-shot,creative,605,1096,11,4,3,2,1,2.03,159,248,407
Few-shot,precise,1497,2102,12,5,3,1,1,3.21,345,476,821
Few-shot,default,1497,2769,13,5,3,1,1,3.96,345,613,958
Few-shot,creative,1497,2580,16,6,2,1,1,3.93,345,628,973
Chain-of-Thought,precise,1664,1652,15,5,2,1,1,2.83,389,388,777
Chain-of-Thought,default,1664,1611,14,5,3,1,1,2.69,389,355,744
Chain-of-Thought,creative,1664,1190,13,5,3,2,1,2.04,389,288,677
Self-Consistency,precise,1279,1688,15,6,3,2,2,2.96,284,412,696
Self-Consistency,default,1279,2079,20,6,3,1,1,3.68,284,510,794
Self-Consistency,creative,1279,2188,18,6,3,1,1,3.72,284,507,791
System Prompt,precise,821,1869,12,5,5,2,2,2.82,198,422,620
System Prompt,default,821,2229,13,6,5,1,2,3.47,198,464,662
System Prompt,creative,821,2455,13,6,4,2,3,3.97,198,554,752
Role Prompt,precise,1076,2589,18,8,3,1,1,4.11,238,562,800
Role Prompt,default,1076,2931,20,10,4,1,2,4.59,238,647,885
Role Prompt,creative,1076,2349,22,10,3,1,1,3.88,238,527,765
Contextual,precise,785,2149,20,10,4,1,1,3.41,187,494,681
Contextual,default,785,2039,17,7,4,1,1,3.43,187,446,633
Contextual,creative,785,2417,16,8,3,2,1,3.78,187,518,705
Tree of Thoughts,precise,1760,900,11,4,3,2,2,1.73,400,219,619
Tree of Thoughts,default,1760,1382,16,6,2,1,2,2.56,400,331,731
Tree of Thoughts,creative,1760,1266,12,6,3,1,2,2.14,400,289,689
ReAct,precise,1826,976,9,3,3,1,1,1.72,438,219,657
ReAct,default,1826,831,9,3,3,2,1,1.48,438,193,631
ReAct,creative,1826,802,9,3,3,2,1,1.49,438,187,625
