Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,612,1784,10,4,3,2,1,3.17,157,452,609
Zero-shot,default,612,1521,10,4,2,2,1,2.62,157,352,509
Zero-shot,creative,612,1311,9,4,3,3,2,2.18,157,292,449
Few-shot,precise,1504,3111,15,6,3,2,1,4.08,343,694,1037
Few-shot,default,1504,3892,14,7,3,2,1,5.37,343,860,1203
Few-shot,creative,1504,4022,12,5,3,1,1,5.85,343,915,1258
Chain-of-Thought,precise,1671,1679,13,5,2,2,1,3.13,387,398,785
Chain-of-Thought,default,1671,1890,14,5,3,2,1,3.33,387,458,845
Chain-of-Thought,creative,1671,1126,10,4,3,2,1,2.10,387,264,651
Self-Consistency,precise,1286,2184,18,6,4,3,1,3.34,282,505,787
Self-Consistency,default,1286,2511,23,10,3,2,1,3.90,282,600,882
Self-Consistency,creative,1286,2564,20,8,3,2,1,4.22,282,618,900
System Prompt,precise,828,3139,10,4,4,2,1,4.95,196,729,925
System Prompt,default,828,2248,11,4,2,2,1,3.86,196,598,794
System Prompt,creative,828,2370,11,4,2,2,1,5.88,196,592,788
Role Prompt,precise,1083,3451,17,8,3,2,1,5.66,236,784,1020
Role Prompt,default,1083,3086,18,8,3,2,1,4.69,236,657,893
Role Prompt,creative,1083,3299,17,7,2,2,1,4.73,236,710,946
Contextual,precise,792,1530,10,5,4,3,3,2.75,185,351,536
Contextual,default,792,1554,10,5,5,2,4,2.86,185,354,539
Contextual,creative,792,2123,16,7,3,2,2,3.37,185,482,667
Tree of Thoughts,precise,1767,1269,12,5,2,3,1,2.28,398,291,689
Tree of Thoughts,default,1767,1298,13,5,2,3,1,2.41,398,312,710
Tree of Thoughts,creative,1767,1773,12,5,3,1,2,2.96,398,382,780
ReAct,precise,1833,2329,18,6,4,2,2,3.32,436,528,964
ReAct,default,1833,2221,18,6,2,3,1,3.01,436,476,912
ReAct,creative,1833,1332,9,3,3,2,1,2.16,436,281,717
