Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,646,1502,12,5,3,3,2,2.34,162,346,508
Zero-shot,default,646,1494,12,4,3,2,2,2.45,162,338,500
Zero-shot,creative,646,1640,13,5,4,2,1,2.62,162,379,541
Few-shot,precise,1538,3931,13,6,3,1,1,5.36,348,863,1211
Few-shot,default,1538,3753,12,6,3,1,1,5.31,348,824,1172
Few-shot,creative,1538,2912,14,6,3,2,2,3.86,348,630,978
Chain-of-Thought,precise,1705,1817,16,7,3,2,2,2.88,392,426,818
Chain-of-Thought,default,1705,1974,18,8,3,2,1,2.97,392,452,844
Chain-of-Thought,creative,1705,2074,17,7,4,2,1,3.67,392,499,891
Self-Consistency,precise,1320,2697,18,6,3,2,1,4.19,287,662,949
Self-Consistency,default,1320,1880,18,6,4,2,2,3.21,287,451,738
Self-Consistency,creative,1320,2509,21,6,3,2,2,3.83,287,596,883
System Prompt,precise,862,2372,10,5,5,2,3,3.47,201,509,710
System Prompt,default,862,2080,11,4,5,2,3,3.68,201,560,761
System Prompt,creative,862,3013,10,5,3,1,2,4.50,201,659,860
Role Prompt,precise,1117,2804,20,10,2,2,1,4.18,241,640,881
Role Prompt,default,1117,2678,20,10,3,1,1,3.78,241,612,853
Role Prompt,creative,1117,3021,20,10,3,2,1,4.29,241,645,886
Contextual,precise,825,2311,16,8,3,3,1,3.37,191,503,694
Contextual,default,825,1799,13,7,4,3,2,2.78,191,405,596
Contextual,creative,825,1843,14,7,5,1,2,2.88,191,408,599
Tree of Thoughts,precise,1801,1696,15,6,3,2,1,2.61,403,392,795
Tree of Thoughts,default,1801,1656,15,7,3,2,1,2.63,403,379,782
Tree of Thoughts,creative,1801,1268,11,5,2,2,1,2.17,403,295,698
ReAct,precise,1867,986,9,3,4,2,1,1.73,441,229,670
ReAct,default,1867,1183,9,3,4,3,1,2.04,441,268,709
ReAct,creative,1867,1208,9,3,4,3,1,2.04,441,267,708
