Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,661,1242,9,4,3,2,3,2.28,167,284,451
Zero-shot,default,661,1258,10,5,3,2,2,2.23,167,271,438
Zero-shot,creative,661,1095,9,4,2,2,1,2.22,167,253,420
Few-shot,precise,1553,2800,11,5,3,1,1,4.22,353,639,992
Few-shot,default,1553,3465,12,5,3,2,1,4.70,353,783,1136
Few-shot,creative,1553,2349,9,4,4,2,1,3.50,353,520,873
Chain-of-Thought,precise,1720,1352,12,5,2,2,1,2.16,397,296,693
Chain-of-Thought,default,1720,1416,13,6,3,2,1,2.35,397,319,716
Chain-of-Thought,creative,1720,1785,15,7,2,2,2,2.93,397,393,790
Self-Consistency,precise,1335,1888,18,6,3,2,1,3.06,292,447,739
Self-Consistency,default,1335,2915,27,10,3,2,1,4.29,292,669,961
Self-Consistency,creative,1335,2221,19,6,2,2,1,3.67,292,520,812
System Prompt,precise,877,2280,10,5,4,2,2,3.68,206,544,750
System Prompt,default,877,2256,14,6,3,2,2,3.60,206,491,697
System Prompt,creative,877,2481,10,5,4,2,2,4.08,206,613,819
Role Prompt,precise,1132,2352,18,8,2,2,1,3.57,246,505,751
Role Prompt,default,1132,2929,22,10,2,2,1,4.47,246,628,874
Role Prompt,creative,1132,1989,17,7,3,2,1,3.04,246,429,675
Contextual,precise,843,1832,12,7,5,2,3,3.40,195,419,614
Contextual,default,843,2384,14,7,3,2,2,3.68,195,519,714
Contextual,creative,843,1882,11,6,4,3,2,3.16,195,416,611
Tree of Thoughts,precise,1816,1383,12,5,3,3,1,2.36,408,309,717
Tree of Thoughts,default,1816,1177,11,5,3,2,2,2.54,408,262,670
Tree of Thoughts,creative,1816,1166,11,5,2,2,2,2.25,408,268,676
ReAct,precise,1882,1050,9,3,4,3,1,1.84,446,230,676
ReAct,default,1882,1317,9,3,3,3,1,2.18,446,273,719
ReAct,creative,1882,1151,9,3,3,3,1,2.10,446,245,691
