Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,570,1633,9,4,5,3,5,2.82,151,391,542
Zero-shot,default,570,2140,15,6,5,3,3,3.36,151,520,671
Zero-shot,creative,570,1605,12,5,4,2,3,2.97,151,382,533
Few-shot,precise,1462,3444,18,9,4,2,2,5.06,337,793,1130
Few-shot,default,1462,3406,15,7,4,3,2,5.26,337,815,1152
Few-shot,creative,1462,3936,16,8,4,2,2,5.55,337,921,1258
Chain-of-Thought,precise,1629,2092,18,8,3,3,2,3.48,381,501,882
Chain-of-Thought,default,1629,1832,19,7,3,3,2,3.07,381,447,828
Chain-of-Thought,creative,1629,2527,19,8,5,2,3,4.56,381,594,975
Self-Consistency,precise,1244,1651,12,6,3,3,2,3.14,276,386,662
Self-Consistency,default,1244,2464,22,6,3,2,2,4.01,276,613,889
Self-Consistency,creative,1244,1771,15,6,3,3,2,3.17,276,438,714
System Prompt,precise,786,2826,10,4,5,2,4,4.28,190,671,861
System Prompt,default,786,2531,11,5,5,2,3,3.78,190,582,772
System Prompt,creative,786,3874,11,4,5,3,4,5.52,190,809,999
Role Prompt,precise,1041,3171,26,10,3,2,1,4.81,230,715,945
Role Prompt,default,1041,4059,25,12,4,2,1,5.93,230,894,1124
Role Prompt,creative,1041,3910,24,10,3,2,1,6.24,230,895,1125
Contextual,precise,746,1833,14,7,5,2,4,3.49,179,432,611
Contextual,default,746,2243,17,8,5,3,2,3.44,179,514,693
Contextual,creative,746,2104,16,8,4,3,3,3.49,179,505,684
Tree of Thoughts,precise,1725,1900,16,8,4,2,3,3.14,392,448,840
Tree of Thoughts,default,1725,1370,12,6,3,2,2,2.57,392,346,738
Tree of Thoughts,creative,1725,1286,13,6,2,1,2,2.44,392,318,710
ReAct,precise,1791,1075,9,3,5,4,2,1.94,430,252,682
ReAct,default,1791,1295,9,3,3,2,1,2.64,430,322,752
ReAct,creative,1791,1170,9,3,4,2,1,2.62,430,278,708
