Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,600,1433,11,5,4,2,2,2.24,160,311,471
Zero-shot,default,600,1319,9,4,3,2,2,2.45,160,304,464
Zero-shot,creative,600,1670,9,4,4,2,2,2.66,160,355,515
Few-shot,precise,1492,3222,16,8,3,2,1,4.80,346,728,1074
Few-shot,default,1492,4816,19,10,2,1,1,6.64,346,1082,1428
Few-shot,creative,1492,5161,16,8,3,1,1,7.15,346,1123,1469
Chain-of-Thought,precise,1659,1990,14,7,3,2,2,3.18,390,441,831
Chain-of-Thought,default,1659,1658,13,6,3,1,2,2.67,390,370,760
Chain-of-Thought,creative,1659,1937,14,7,4,2,2,3.25,390,454,844
Self-Consistency,precise,1274,1934,18,6,3,1,1,4.78,285,445,730
Self-Consistency,default,1274,2135,18,9,3,1,1,3.29,285,473,758
Self-Consistency,creative,1274,2552,18,6,3,1,2,3.87,285,569,854
System Prompt,precise,816,2158,14,7,3,1,3,3.69,199,475,674
System Prompt,default,816,2339,10,5,5,2,4,3.55,199,509,708
System Prompt,creative,816,2185,9,4,4,2,3,3.37,199,505,704
Role Prompt,precise,1071,3053,20,10,2,1,1,4.29,239,676,915
Role Prompt,default,1071,2653,19,9,2,1,1,3.77,239,583,822
Role Prompt,creative,1071,2602,20,10,3,1,1,4.21,239,540,779
Contextual,precise,778,2157,13,8,4,3,2,3.73,190,476,666
Contextual,default,778,2722,17,9,4,1,2,4.46,190,555,745
Contextual,creative,778,1895,13,7,2,2,2,3.02,190,420,610
Tree of Thoughts,precise,1755,1450,12,6,3,2,3,2.55,401,326,727
Tree of Thoughts,default,1755,1352,12,6,2,2,2,2.32,401,305,706
Tree of Thoughts,creative,1755,1957,16,7,3,1,2,3.05,401,439,840
ReAct,precise,1821,1260,9,3,5,2,3,2.41,439,285,724
ReAct,default,1821,1395,9,3,4,2,2,2.54,439,302,741
ReAct,creative,1821,1313,9,3,4,1,2,2.44,439,303,742
