Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,615,873,8,4,4,2,3,1.96,160,228,388
Zero-shot,default,615,811,8,4,4,2,3,2.10,160,212,372
Zero-shot,creative,615,832,8,4,5,2,4,1.91,160,217,377
Few-shot,precise,1507,2029,12,6,4,1,2,3.12,346,473,819
Few-shot,default,1507,2053,13,8,4,2,1,3.40,346,476,822
Few-shot,creative,1507,2134,13,6,3,1,2,3.36,346,505,851
Chain-of-Thought,precise,1674,1257,12,6,4,2,2,2.17,390,293,683
Chain-of-Thought,default,1674,1333,12,6,4,1,3,2.22,390,318,708
Chain-of-Thought,creative,1674,1255,11,5,4,1,3,2.19,390,295,685
Self-Consistency,precise,1289,1618,15,9,3,1,2,2.65,285,385,670
Self-Consistency,default,1289,1633,15,9,2,2,2,2.76,285,406,691
Self-Consistency,creative,1289,1719,17,9,2,1,1,2.84,285,432,717
System Prompt,precise,831,2097,10,5,5,3,2,3.39,199,471,670
System Prompt,default,831,2130,10,5,4,2,1,3.47,199,498,697
System Prompt,creative,831,1615,8,4,3,1,2,2.95,199,371,570
Role Prompt,precise,1086,2223,20,10,3,2,1,3.67,239,487,726
Role Prompt,default,1086,2316,20,10,3,2,1,3.70,239,519,758
Role Prompt,creative,1086,2154,19,10,3,2,1,3.47,239,487,726
Contextual,precise,796,1628,12,7,5,3,3,2.96,188,371,559
Contextual,default,796,2065,11,6,4,1,3,3.37,188,500,688
Contextual,creative,796,1971,13,8,5,2,3,3.37,188,448,636
Tree of Thoughts,precise,1770,790,9,5,3,1,3,1.84,401,208,609
Tree of Thoughts,default,1770,915,11,6,3,2,1,1.84,401,226,627
Tree of Thoughts,creative,1770,837,9,5,4,2,3,1.74,401,216,617
ReAct,precise,1836,824,9,3,4,3,1,1.63,439,189,628
ReAct,default,1836,717,9,3,4,3,1,1.53,439,175,614
ReAct,creative,1836,852,9,3,4,2,3,1.57,439,203,642
