Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,586,1047,9,4,4,2,4,2.25,152,251,403
Zero-shot,default,586,1202,10,4,3,1,2,2.32,152,289,441
Zero-shot,creative,586,900,7,3,3,2,2,1.74,152,188,340
Few-shot,precise,1478,3099,15,7,4,2,2,4.81,338,701,1039
Few-shot,default,1478,3025,14,7,3,2,1,4.79,338,673,1011
Few-shot,creative,1478,4198,13,6,3,1,1,5.83,338,919,1257
Chain-of-Thought,precise,1645,1657,15,7,3,1,1,2.67,382,397,779
Chain-of-Thought,default,1645,1503,15,7,3,1,1,2.53,382,364,746
Chain-of-Thought,creative,1645,1623,14,5,3,2,2,2.97,382,384,766
Self-Consistency,precise,1260,1819,18,6,3,2,2,3.11,277,411,688
Self-Consistency,default,1260,1855,18,6,3,3,2,3.13,277,438,715
Self-Consistency,creative,1260,1864,17,6,3,2,1,3.07,277,428,705
System Prompt,precise,802,1798,8,4,4,2,4,2.96,191,406,597
System Prompt,default,802,2302,11,5,5,2,4,3.47,191,495,686
System Prompt,creative,802,2162,8,4,4,1,2,3.71,191,461,652
Role Prompt,precise,1057,2275,19,9,3,2,1,3.44,231,496,727
Role Prompt,default,1057,2893,20,10,3,1,1,4.05,231,620,851
Role Prompt,creative,1057,2563,20,10,3,1,1,4.43,231,570,801
Contextual,precise,760,1561,11,6,4,2,3,2.75,179,348,527
Contextual,default,760,1955,11,6,4,3,2,3.06,179,444,623
Contextual,creative,760,2145,12,6,5,1,3,3.69,179,475,654
Tree of Thoughts,precise,1741,1127,11,4,3,2,2,2.01,393,267,660
Tree of Thoughts,default,1741,1359,13,6,3,2,2,2.49,393,322,715
Tree of Thoughts,creative,1741,1390,15,6,3,1,2,2.55,393,324,717
ReAct,precise,1807,956,9,3,3,3,2,1.63,431,217,648
ReAct,default,1807,1379,9,3,4,3,2,2.19,431,286,717
ReAct,creative,1807,2271,18,6,3,3,2,2.93,431,492,923
