Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,612,1773,16,6,3,2,1,2.96,155,444,599
Zero-shot,default,612,1362,9,4,3,1,2,2.28,155,344,499
Zero-shot,creative,612,1470,11,5,5,2,2,2.64,155,342,497
Few-shot,precise,1504,2729,18,8,3,2,1,4.28,341,651,992
Few-shot,default,1504,2598,16,7,3,2,1,4.29,341,676,1017
Few-shot,creative,1504,2516,17,7,4,2,1,3.87,341,616,957
Chain-of-Thought,precise,1671,2050,17,7,3,2,1,3.39,385,489,874
Chain-of-Thought,default,1671,1741,16,7,3,2,1,2.95,385,427,812
Chain-of-Thought,creative,1671,1798,16,6,3,2,1,3.00,385,428,813
Self-Consistency,precise,1286,1967,20,9,3,2,2,3.23,280,486,766
Self-Consistency,default,1286,2613,24,12,2,2,1,3.78,280,621,901
Self-Consistency,creative,1286,3596,32,16,4,1,2,5.84,280,876,1156
System Prompt,precise,828,2734,16,8,4,1,3,4.17,194,602,796
System Prompt,default,828,2566,11,5,5,2,3,3.99,194,577,771
System Prompt,creative,828,2162,12,5,4,1,2,3.37,194,503,697
Role Prompt,precise,1083,2210,20,10,3,1,1,3.34,234,508,742
Role Prompt,default,1083,2583,21,10,3,2,1,3.71,234,572,806
Role Prompt,creative,1083,2310,18,8,3,2,1,3.37,234,525,759
Contextual,precise,795,1989,15,8,3,2,1,2.92,186,446,632
Contextual,default,795,2268,16,9,4,2,1,3.48,186,521,707
Contextual,creative,795,2023,17,9,3,2,1,3.20,186,464,650
Tree of Thoughts,precise,1767,1254,12,6,3,1,1,2.25,396,298,694
Tree of Thoughts,default,1767,1512,15,5,4,2,1,2.76,396,344,740
Tree of Thoughts,creative,1767,1598,12,6,3,2,2,2.78,396,378,774
ReAct,precise,1833,1101,9,3,4,3,1,1.91,434,237,671
ReAct,default,1833,1070,9,3,2,3,1,1.95,434,242,676
ReAct,creative,1833,964,9,3,4,2,1,1.76,434,219,653
