Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,634,940,9,4,3,1,1,1.77,160,214,374
Zero-shot,default,634,1019,9,4,4,2,2,2.00,160,225,385
Zero-shot,creative,634,1275,10,4,2,1,1,2.10,160,286,446
Few-shot,precise,1526,2417,12,5,4,2,2,3.82,346,538,884
Few-shot,default,1526,3760,11,5,3,1,1,5.01,346,779,1125
Few-shot,creative,1526,2455,11,5,4,2,1,3.57,346,512,858
Chain-of-Thought,precise,1693,1334,14,5,3,1,1,2.35,390,321,711
Chain-of-Thought,default,1693,1161,11,4,4,1,1,1.94,390,268,658
Chain-of-Thought,creative,1693,1446,13,5,3,1,1,2.45,390,333,723
Self-Consistency,precise,1308,2313,18,6,4,1,1,3.88,285,524,809
Self-Consistency,default,1308,1881,15,6,3,2,1,2.96,285,416,701
Self-Consistency,creative,1308,1739,17,6,4,1,2,2.86,285,418,703
System Prompt,precise,850,3273,9,4,1,1,1,4.33,199,668,867
System Prompt,default,850,2826,9,4,3,1,1,3.84,199,582,781
System Prompt,creative,850,3174,11,5,4,1,1,4.40,199,685,884
Role Prompt,precise,1105,1656,15,7,3,1,1,2.61,239,365,604
Role Prompt,default,1105,1798,15,7,3,1,1,2.79,239,392,631
Role Prompt,creative,1105,2122,13,6,3,1,1,3.06,239,442,681
Contextual,precise,810,1897,14,7,4,1,2,3.21,187,425,612
Contextual,default,810,1903,13,7,5,2,2,3.22,187,427,614
Contextual,creative,810,2019,16,8,5,1,2,3.17,187,446,633
Tree of Thoughts,precise,1789,1155,12,5,3,1,1,1.88,401,267,668
Tree of Thoughts,default,1789,1271,14,6,4,1,1,2.20,401,293,694
Tree of Thoughts,creative,1789,1281,14,6,3,2,1,2.45,401,305,706
ReAct,precise,1855,1034,9,3,5,3,1,1.76,439,229,668
ReAct,default,1855,1005,9,3,4,2,1,1.83,439,227,666
ReAct,creative,1855,1190,9,3,4,2,1,1.95,439,267,706
