Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,584,1514,12,4,4,2,2,2.55,151,341,492
Zero-shot,default,584,1816,14,5,3,2,3,3.27,151,412,563
Zero-shot,creative,584,1968,13,5,3,2,2,2.91,151,444,595
Few-shot,precise,1476,4708,16,8,2,2,1,6.81,337,1085,1422
Few-shot,default,1476,3526,18,9,3,1,1,5.16,337,808,1145
Few-shot,creative,1476,3871,23,10,3,3,1,5.74,337,956,1293
Chain-of-Thought,precise,1643,1961,18,7,3,2,2,3.19,381,462,843
Chain-of-Thought,default,1643,2226,20,8,3,3,2,3.77,381,508,889
Chain-of-Thought,creative,1643,2162,16,6,3,2,2,3.48,381,507,888
Self-Consistency,precise,1258,2290,19,6,3,3,1,3.58,276,550,826
Self-Consistency,default,1258,3372,26,8,2,2,1,4.80,276,801,1077
Self-Consistency,creative,1258,3127,29,8,3,2,1,4.59,276,735,1011
System Prompt,precise,800,4025,16,6,4,1,2,5.12,190,813,1003
System Prompt,default,800,2512,13,5,4,2,2,3.99,190,550,740
System Prompt,creative,800,3049,15,6,3,2,1,4.49,190,677,867
Role Prompt,precise,1055,3725,24,10,3,2,1,5.04,230,814,1044
Role Prompt,default,1055,3300,24,10,2,2,1,5.27,230,709,939
Role Prompt,creative,1055,3695,23,10,2,2,1,5.50,230,784,1014
Contextual,precise,760,2269,16,8,3,2,2,8.60,179,495,674
Contextual,default,760,2452,16,8,5,2,2,7.57,179,525,704
Contextual,creative,760,2416,18,9,3,2,1,3.67,179,540,719
Tree of Thoughts,precise,1739,1701,15,6,4,2,2,9.12,392,379,771
Tree of Thoughts,default,1739,1762,16,6,3,2,2,8.29,392,403,795
Tree of Thoughts,creative,1739,3645,34,9,3,2,1,4.70,392,844,1236
ReAct,precise,1805,1005,9,3,4,2,2,2.85,430,225,655
ReAct,default,1805,2399,18,6,3,2,1,3.09,430,534,964
ReAct,creative,1805,1250,9,3,4,2,2,2.12,430,273,703
