Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,578,1360,9,4,3,1,2,2.61,151,324,475
Zero-shot,default,578,1492,12,5,3,2,2,2.85,151,349,500
Zero-shot,creative,578,2162,11,5,5,1,2,3.67,151,512,663
Few-shot,precise,1470,2810,13,5,5,1,2,4.09,337,624,961
Few-shot,default,1470,3625,16,7,3,1,1,5.09,337,821,1158
Few-shot,creative,1470,3176,16,7,3,1,2,4.62,337,724,1061
Chain-of-Thought,precise,1637,1933,14,5,3,1,2,3.23,381,444,825
Chain-of-Thought,default,1637,1772,15,6,3,1,2,4.14,381,400,781
Chain-of-Thought,creative,1637,2152,13,5,4,2,1,3.41,381,484,865
Self-Consistency,precise,1252,2746,18,6,4,2,1,9.45,276,656,932
Self-Consistency,default,1252,2954,20,6,3,2,1,4.56,276,713,989
Self-Consistency,creative,1252,3298,30,11,3,2,1,4.95,276,787,1063
System Prompt,precise,794,2788,14,6,5,2,3,9.24,190,627,817
System Prompt,default,794,2962,12,5,5,1,2,4.91,190,672,862
System Prompt,creative,794,3708,9,4,3,1,1,5.43,190,779,969
Role Prompt,precise,1049,3442,24,9,3,1,1,4.99,230,765,995
Role Prompt,default,1049,2453,20,8,3,1,1,3.73,230,565,795
Role Prompt,creative,1049,3392,22,10,4,2,1,4.83,230,748,978
Contextual,precise,754,2591,20,10,3,2,1,3.95,179,582,761
Contextual,default,754,1651,10,5,5,1,3,2.88,179,378,557
Contextual,creative,754,2266,9,5,5,2,4,4.34,179,541,720
Tree of Thoughts,precise,1733,2249,16,6,4,1,2,3.93,392,503,895
Tree of Thoughts,default,1733,1850,16,6,3,1,2,17.74,392,428,820
Tree of Thoughts,creative,1733,1613,14,6,3,1,2,3.61,392,368,760
ReAct,precise,1799,1156,9,3,4,2,1,7.08,430,242,672
ReAct,default,1799,1212,9,3,4,3,1,2.13,430,249,679
ReAct,creative,1799,1168,9,3,4,2,1,2.25,430,258,688
