Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,632,1581,18,5,2,2,1,2.76,160,370,530
Zero-shot,default,632,1778,14,5,3,3,1,3.05,160,394,554
Zero-shot,creative,632,1359,10,4,4,3,1,2.24,160,293,453
Few-shot,precise,1524,2967,17,7,4,2,1,4.60,346,697,1043
Few-shot,default,1524,3094,16,7,4,2,1,4.60,346,686,1032
Few-shot,creative,1524,2897,16,6,4,2,1,4.39,346,666,1012
Chain-of-Thought,precise,1691,1751,16,6,2,3,1,2.97,390,385,775
Chain-of-Thought,default,1691,2107,20,6,2,2,1,3.35,390,495,885
Chain-of-Thought,creative,1691,2280,18,8,3,2,1,3.50,390,486,876
Self-Consistency,precise,1306,2034,18,6,3,2,1,3.03,285,454,739
Self-Consistency,default,1306,2456,20,6,3,2,1,4.11,285,547,832
Self-Consistency,creative,1306,1870,19,6,3,2,1,3.17,285,433,718
System Prompt,precise,848,3738,17,6,5,2,3,5.56,199,802,1001
System Prompt,default,848,2407,19,7,3,2,1,4.05,199,548,747
System Prompt,creative,848,2706,12,5,5,2,4,4.20,199,598,797
Role Prompt,precise,1103,3172,22,10,3,2,1,5.01,239,677,916
Role Prompt,default,1103,4361,26,10,3,1,1,6.36,239,890,1129
Role Prompt,creative,1103,3763,24,10,3,2,1,5.80,239,770,1009
Contextual,precise,814,3035,14,7,5,2,3,4.96,188,657,845
Contextual,default,814,2454,16,7,5,3,4,3.74,188,545,733
Contextual,creative,814,2151,10,5,5,3,3,3.93,188,488,676
Tree of Thoughts,precise,1787,1562,18,8,2,2,1,2.89,401,362,763
Tree of Thoughts,default,1787,1291,15,6,2,2,1,2.13,401,288,689
Tree of Thoughts,creative,1787,1573,15,6,2,2,1,2.54,401,348,749
ReAct,precise,1853,952,9,3,3,3,1,1.59,439,204,643
ReAct,default,1853,1111,9,3,2,3,1,1.83,439,239,678
ReAct,creative,1853,1412,9,3,3,3,1,2.21,439,293,732
