Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,556,1433,12,6,3,1,2,2.41,147,333,480
Zero-shot,default,556,1430,12,6,4,1,2,2.37,147,330,477
Zero-shot,creative,556,1399,12,6,4,1,2,2.66,147,328,475
Few-shot,precise,1448,2198,13,6,3,1,1,8.38,333,508,841
Few-shot,default,1448,2645,16,8,4,1,2,3.99,333,609,942
Few-shot,creative,1448,2808,16,8,4,1,2,4.04,333,624,957
Chain-of-Thought,precise,1615,1795,17,8,3,1,2,3.19,377,430,807
Chain-of-Thought,default,1615,1894,16,7,3,1,1,2.98,377,415,792
Chain-of-Thought,creative,1615,1968,17,8,4,1,2,2.96,377,448,825
Self-Consistency,precise,1230,2181,20,9,4,2,2,4.09,272,493,765
Self-Consistency,default,1230,2036,18,6,3,2,2,3.14,272,432,704
Self-Consistency,creative,1230,1770,16,6,4,2,2,3.54,272,399,671
System Prompt,precise,772,2080,10,5,5,1,3,3.63,186,459,645
System Prompt,default,772,3177,10,5,4,1,2,4.60,186,692,878
System Prompt,creative,772,2421,10,5,4,1,3,3.84,186,604,790
Role Prompt,precise,1027,1898,20,10,3,1,1,2.90,226,431,657
Role Prompt,default,1027,2226,20,10,3,1,1,3.57,226,497,723
Role Prompt,creative,1027,2211,20,10,2,1,1,3.47,226,514,740
Contextual,precise,732,1412,11,6,4,2,3,2.39,174,307,481
Contextual,default,732,2720,20,10,3,2,1,3.73,174,560,734
Contextual,creative,732,2010,13,8,4,2,3,2.96,174,419,593
Tree of Thoughts,precise,1711,1447,14,7,3,1,2,2.45,388,344,732
Tree of Thoughts,default,1711,1720,16,8,4,1,3,2.74,388,413,801
Tree of Thoughts,creative,1711,1603,14,7,4,1,2,2.79,388,385,773
ReAct,precise,1777,889,9,3,5,3,2,1.72,426,203,629
ReAct,default,1777,2083,18,6,5,2,3,2.75,426,468,894
ReAct,creative,1777,905,9,3,4,3,1,1.47,426,201,627
