Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,593,1380,12,4,3,1,2,2.36,153,318,471
Zero-shot,default,593,1496,12,4,3,2,2,2.74,153,359,512
Zero-shot,creative,593,1416,12,5,4,2,3,2.36,153,338,491
Few-shot,precise,1485,4250,19,9,3,1,2,5.83,339,962,1301
Few-shot,default,1485,4065,17,8,3,1,1,5.81,339,881,1220
Few-shot,creative,1485,4363,15,7,4,2,1,6.54,339,1021,1360
Chain-of-Thought,precise,1652,1594,15,5,4,2,1,2.54,383,377,760
Chain-of-Thought,default,1652,1536,16,6,4,2,2,2.62,383,364,747
Chain-of-Thought,creative,1652,1430,15,6,4,1,1,2.49,383,340,723
Self-Consistency,precise,1267,2296,22,8,3,2,1,3.48,278,535,813
Self-Consistency,default,1267,2093,19,6,3,2,2,3.37,278,510,788
Self-Consistency,creative,1267,2559,20,6,4,2,1,3.83,278,554,832
System Prompt,precise,809,2809,13,5,4,1,3,4.49,192,632,824
System Prompt,default,809,1895,14,6,5,1,2,2.98,192,437,629
System Prompt,creative,809,3218,13,6,3,1,2,4.64,192,702,894
Role Prompt,precise,1064,3225,27,12,4,1,1,4.81,232,719,951
Role Prompt,default,1064,2582,20,10,3,1,1,3.75,232,558,790
Role Prompt,creative,1064,2829,24,12,3,1,1,4.17,232,617,849
Contextual,precise,773,2378,10,5,5,1,4,3.80,181,524,705
Contextual,default,773,2008,17,6,4,1,2,3.38,181,461,642
Contextual,creative,773,2908,14,7,5,2,3,4.70,181,716,897
Tree of Thoughts,precise,1748,1366,13,6,4,1,1,2.20,394,315,709
Tree of Thoughts,default,1748,1156,13,5,3,1,2,2.16,394,291,685
Tree of Thoughts,creative,1748,1520,13,5,3,1,2,2.47,394,337,731
ReAct,precise,1814,1011,9,3,5,3,1,1.94,432,224,656
ReAct,default,1814,1053,9,3,4,3,1,1.94,432,240,672
ReAct,creative,1814,1074,9,3,3,2,2,1.94,432,246,678
