Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,600,2341,15,7,5,2,3,3.58,153,492,645
Zero-shot,default,600,1802,13,6,5,2,1,2.80,153,376,529
Zero-shot,creative,600,2196,12,4,4,2,1,3.22,153,436,589
Few-shot,precise,1492,5438,20,10,3,1,1,7.22,339,1168,1507
Few-shot,default,1492,5244,20,10,3,2,1,6.89,339,1127,1466
Few-shot,creative,1492,4027,24,10,4,1,1,5.85,339,919,1258
Chain-of-Thought,precise,1659,2249,18,8,3,1,1,3.22,383,470,853
Chain-of-Thought,default,1659,2297,18,8,3,1,1,3.38,383,502,885
Chain-of-Thought,creative,1659,2540,18,9,4,2,1,3.64,383,544,927
Self-Consistency,precise,1274,2488,21,6,3,2,2,3.82,278,569,847
Self-Consistency,default,1274,2814,27,11,4,2,2,4.09,278,677,955
Self-Consistency,creative,1274,2485,20,6,3,1,1,3.56,278,558,836
System Prompt,precise,816,3026,12,6,5,2,3,4.47,192,634,826
System Prompt,default,816,3257,16,8,5,1,3,4.74,192,696,888
System Prompt,creative,816,2729,13,6,5,2,3,3.98,192,552,744
Role Prompt,precise,1071,3549,22,10,3,1,1,4.60,232,732,964
Role Prompt,default,1071,3874,25,10,3,2,1,5.09,232,819,1051
Role Prompt,creative,1071,2812,24,10,3,2,1,4.21,232,620,852
Contextual,precise,774,2883,16,8,5,2,3,3.83,180,608,788
Contextual,default,774,2404,16,8,5,1,4,3.52,180,526,706
Contextual,creative,774,2771,14,7,5,2,4,4.12,180,586,766
Tree of Thoughts,precise,1755,1640,14,7,4,1,2,2.73,394,360,754
Tree of Thoughts,default,1755,2469,20,10,4,1,2,3.71,394,553,947
Tree of Thoughts,creative,1755,1457,14,7,4,2,1,2.64,394,326,720
ReAct,precise,1821,1100,9,3,4,2,1,1.90,432,212,644
ReAct,default,1821,1276,9,3,3,2,1,1.96,432,252,684
ReAct,creative,1821,1253,9,3,5,2,1,1.94,432,240,672
