Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,611,1718,13,5,3,1,1,2.73,154,396,550
Zero-shot,default,611,1654,13,5,3,1,2,2.52,154,388,542
Zero-shot,creative,611,2143,13,5,4,1,1,3.42,154,462,616
Few-shot,precise,1503,3654,17,8,4,1,1,5.21,340,834,1174
Few-shot,default,1503,2506,18,8,3,1,1,3.88,340,589,929
Few-shot,creative,1503,3084,17,7,3,1,1,4.70,340,703,1043
Chain-of-Thought,precise,1670,2212,18,8,4,1,1,3.16,384,472,856
Chain-of-Thought,default,1670,2426,17,8,5,2,1,3.88,384,529,913
Chain-of-Thought,creative,1670,1820,17,8,3,1,2,3.27,384,412,796
Self-Consistency,precise,1285,2607,20,6,4,2,2,3.58,279,565,844
Self-Consistency,default,1285,1864,18,6,2,1,2,2.88,279,435,714
Self-Consistency,creative,1285,2599,20,7,3,1,1,3.76,279,576,855
System Prompt,precise,827,2705,11,5,5,1,5,3.78,193,600,793
System Prompt,default,827,2902,11,5,5,2,4,9.00,193,593,786
System Prompt,creative,827,2577,15,6,5,1,2,3.57,193,533,726
Role Prompt,precise,1082,3455,25,10,4,1,1,4.71,233,728,961
Role Prompt,default,1082,3303,25,10,4,1,1,4.78,233,699,932
Role Prompt,creative,1082,3269,28,12,3,1,1,5.23,233,741,974
Contextual,precise,785,2949,20,10,4,2,1,4.15,181,654,835
Contextual,default,785,2829,20,10,4,1,1,4.32,181,624,805
Contextual,creative,785,2309,18,9,5,2,3,3.57,181,511,692
Tree of Thoughts,precise,1766,2060,18,8,3,1,1,3.17,395,455,850
Tree of Thoughts,default,1766,1816,15,5,3,1,1,2.96,395,421,816
Tree of Thoughts,creative,1766,1564,14,5,4,1,2,2.64,395,364,759
ReAct,precise,1832,1075,9,3,4,1,2,1.72,433,231,664
ReAct,default,1832,1254,9,3,3,1,2,2.08,433,283,716
ReAct,creative,1832,1235,9,3,3,2,1,2.21,433,279,712
