Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,612,1169,9,4,3,1,2,2.00,156,253,409
Zero-shot,default,612,946,9,4,4,2,2,1.84,156,220,376
Zero-shot,creative,612,1210,9,4,5,2,1,2.04,156,253,409
Few-shot,precise,1504,2334,11,5,4,2,1,3.37,342,523,865
Few-shot,default,1504,2066,11,5,3,1,1,2.96,342,447,789
Few-shot,creative,1504,3396,11,5,2,1,1,4.60,342,794,1136
Chain-of-Thought,precise,1671,1629,12,5,3,2,2,3.06,386,358,744
Chain-of-Thought,default,1671,1368,12,5,3,2,2,2.24,386,296,682
Chain-of-Thought,creative,1671,1477,13,6,3,1,1,2.35,386,305,691
Self-Consistency,precise,1286,2652,20,8,4,2,1,3.78,281,580,861
Self-Consistency,default,1286,1909,15,6,4,1,2,3.17,281,424,705
Self-Consistency,creative,1286,1431,12,6,4,2,2,2.55,281,323,604
System Prompt,precise,828,2190,8,4,3,1,1,3.35,195,494,689
System Prompt,default,828,1701,10,5,5,2,3,2.88,195,360,555
System Prompt,creative,828,2163,7,3,3,1,1,3.07,195,458,653
Role Prompt,precise,1083,2618,18,8,4,2,1,3.49,235,529,764
Role Prompt,default,1083,3204,20,10,3,1,1,4.16,235,645,880
Role Prompt,creative,1083,2066,16,8,3,1,2,3.35,235,461,696
Contextual,precise,793,1564,10,6,4,3,2,2.58,184,317,501
Contextual,default,793,2083,13,8,5,1,2,3.47,184,467,651
Contextual,creative,793,1506,9,4,3,2,2,2.59,184,332,516
Tree of Thoughts,precise,1767,1428,12,5,4,2,1,2.52,397,307,704
Tree of Thoughts,default,1767,1245,11,5,4,2,2,2.13,397,259,656
Tree of Thoughts,creative,1767,1690,15,7,4,1,1,2.56,397,355,752
ReAct,precise,1833,940,9,3,4,2,1,1.74,435,198,633
ReAct,default,1833,1129,9,3,4,3,1,1.83,435,234,669
ReAct,creative,1833,1172,9,3,3,3,1,1.84,435,236,671
