Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,611,1233,11,4,3,2,2,2.24,159,278,437
Zero-shot,default,611,1202,11,4,2,1,1,2.24,159,288,447
Zero-shot,creative,611,1119,10,4,2,1,2,1.94,159,253,412
Few-shot,precise,1503,2947,13,5,3,1,1,4.40,345,702,1047
Few-shot,default,1503,2531,12,5,3,1,1,4.20,345,628,973
Few-shot,creative,1503,4182,13,5,3,1,1,5.72,345,904,1249
Chain-of-Thought,precise,1670,1374,14,5,3,1,2,2.44,389,329,718
Chain-of-Thought,default,1670,1587,15,5,2,1,1,2.55,389,364,753
Chain-of-Thought,creative,1670,1802,15,5,3,1,2,2.76,389,415,804
Self-Consistency,precise,1285,1714,17,6,3,1,2,2.87,284,427,711
Self-Consistency,default,1285,1757,17,6,3,1,1,2.66,284,416,700
Self-Consistency,creative,1285,1340,15,6,4,1,2,2.43,284,338,622
System Prompt,precise,827,2223,10,4,3,1,2,3.59,198,484,682
System Prompt,default,827,3321,10,5,3,2,2,4.90,198,704,902
System Prompt,creative,827,3262,10,4,3,2,3,4.80,198,697,895
Role Prompt,precise,1082,3068,20,10,3,1,1,4.39,238,656,894
Role Prompt,default,1082,3208,18,8,3,1,1,4.60,238,676,914
Role Prompt,creative,1082,2267,17,7,2,1,1,3.55,238,530,768
Contextual,precise,792,1771,14,8,5,2,2,2.77,187,392,579
Contextual,default,792,1813,16,8,4,2,1,2.86,187,423,610
Contextual,creative,792,2274,14,8,4,1,2,3.37,187,503,690
Tree of Thoughts,precise,1766,1432,14,6,3,1,1,2.44,400,328,728
Tree of Thoughts,default,1766,1263,13,5,3,1,1,2.15,400,298,698
Tree of Thoughts,creative,1766,1174,13,5,2,1,1,2.25,400,293,693
ReAct,precise,1832,1049,9,3,3,1,1,1.93,438,236,674
ReAct,default,1832,1044,9,3,2,2,1,1.62,438,224,662
ReAct,creative,1832,910,9,3,2,1,2,1.75,438,210,648
