Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,599,1384,9,4,4,3,5,2.15,151,308,459
Zero-shot,default,599,1038,8,3,3,3,4,1.83,151,233,384
Zero-shot,creative,599,921,10,3,3,3,3,1.59,151,213,364
Few-shot,precise,1491,4534,16,7,3,1,1,5.10,337,922,1259
Few-shot,default,1491,3507,14,6,3,2,2,4.45,337,753,1090
Few-shot,creative,1491,2855,13,6,3,2,2,3.78,337,590,927
Chain-of-Thought,precise,1658,1992,17,7,3,2,2,2.96,381,428,809
Chain-of-Thought,default,1658,1809,15,5,4,3,3,2.59,381,384,765
Chain-of-Thought,creative,1658,1808,14,6,2,2,2,2.71,381,370,751
Self-Consistency,precise,1273,2772,24,8,3,1,1,4.00,276,634,910
Self-Consistency,default,1273,2472,23,9,3,2,2,3.65,276,560,836
Self-Consistency,creative,1273,2649,21,9,3,2,3,3.68,276,594,870
System Prompt,precise,815,2062,11,5,4,1,3,3.16,190,431,621
System Prompt,default,815,2629,10,5,4,2,3,4.09,190,570,760
System Prompt,creative,815,2588,11,5,4,2,3,3.88,190,565,755
Role Prompt,precise,1070,2885,22,10,3,2,1,3.95,230,607,837
Role Prompt,default,1070,3000,20,10,4,2,1,4.43,230,665,895
Role Prompt,creative,1070,3032,16,7,3,1,2,4.91,230,634,864
Contextual,precise,775,2110,11,6,5,3,5,3.37,179,443,622
Contextual,default,775,1652,12,6,4,2,2,2.66,179,357,536
Contextual,creative,775,1825,16,7,3,2,2,3.71,179,404,583
Tree of Thoughts,precise,1754,1478,12,6,3,2,2,2.45,392,338,730
Tree of Thoughts,default,1754,1734,15,7,3,2,2,2.72,392,380,772
Tree of Thoughts,creative,1754,1313,14,5,4,2,3,2.10,392,305,697
ReAct,precise,1820,1213,9,3,3,3,2,1.93,430,241,671
ReAct,default,1820,1208,9,3,3,4,2,1.89,430,228,658
ReAct,creative,1820,1259,9,3,3,3,2,1.88,430,251,681
