Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,599,1547,12,5,4,1,2,2.65,155,381,536
Zero-shot,default,599,2033,18,7,4,2,1,3.28,155,474,629
Zero-shot,creative,599,1566,12,5,4,1,2,3.26,155,373,528
Few-shot,precise,1491,3958,20,10,3,2,1,11.24,341,953,1294
Few-shot,default,1491,3866,16,7,3,1,1,5.64,341,897,1238
Few-shot,creative,1491,3124,19,8,4,2,1,4.30,341,714,1055
Chain-of-Thought,precise,1658,1886,17,7,4,1,1,3.57,385,456,841
Chain-of-Thought,default,1658,2086,19,8,3,2,1,3.50,385,477,862
Chain-of-Thought,creative,1658,2141,20,8,3,1,1,3.45,385,510,895
Self-Consistency,precise,1273,3918,37,13,3,1,1,5.32,280,922,1202
Self-Consistency,default,1273,2161,18,6,2,2,1,3.25,280,500,780
Self-Consistency,creative,1273,2119,20,6,3,2,1,3.37,280,495,775
System Prompt,precise,815,2676,17,8,4,1,2,4.19,194,609,803
System Prompt,default,815,2531,14,7,5,1,3,3.57,194,555,749
System Prompt,creative,815,2918,16,8,5,2,3,4.15,194,616,810
Role Prompt,precise,1070,4242,30,15,3,1,1,5.66,234,920,1154
Role Prompt,default,1070,2977,20,8,4,1,1,4.20,234,644,878
Role Prompt,creative,1070,3231,26,11,3,1,1,4.27,234,733,967
Contextual,precise,773,2524,14,7,5,3,4,3.57,182,539,721
Contextual,default,773,2829,12,6,5,2,4,3.71,182,603,785
Contextual,creative,773,2949,20,10,4,2,2,4.22,182,678,860
Tree of Thoughts,precise,1754,1893,17,7,3,1,1,2.79,396,446,842
Tree of Thoughts,default,1754,1786,17,7,3,1,1,2.88,396,423,819
Tree of Thoughts,creative,1754,2301,20,9,3,1,1,3.46,396,542,938
ReAct,precise,1820,1079,9,3,3,2,2,1.93,434,239,673
ReAct,default,1820,1046,9,3,4,2,2,1.83,434,238,672
ReAct,creative,1820,987,9,3,3,2,2,1.64,434,228,662
