Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,599,1679,15,7,3,1,2,2.65,155,391,546
Zero-shot,default,599,1496,9,4,4,2,3,2.25,155,332,487
Zero-shot,creative,599,2208,12,6,4,1,2,3.16,155,471,626
Few-shot,precise,1491,3164,18,9,3,1,2,4.54,341,739,1080
Few-shot,default,1491,4129,17,9,2,1,1,5.39,341,936,1277
Few-shot,creative,1491,4664,14,7,2,1,1,6.02,341,1003,1344
Chain-of-Thought,precise,1658,1920,17,7,4,2,2,2.97,385,458,843
Chain-of-Thought,default,1658,2055,17,7,5,2,2,3.15,385,462,847
Chain-of-Thought,creative,1658,1889,17,7,4,2,2,3.06,385,446,831
Self-Consistency,precise,1273,2243,20,6,2,2,2,3.73,280,541,821
Self-Consistency,default,1273,2626,23,9,2,1,1,3.92,280,624,904
Self-Consistency,creative,1273,4176,36,15,3,2,1,5.74,280,994,1274
System Prompt,precise,815,2350,12,5,4,2,2,3.53,194,544,738
System Prompt,default,815,2210,11,5,4,1,3,3.71,194,592,786
System Prompt,creative,815,2774,11,5,5,2,3,4.19,194,610,804
Role Prompt,precise,1070,2645,20,10,3,2,1,3.85,234,607,841
Role Prompt,default,1070,3242,25,12,3,1,1,4.84,234,702,936
Role Prompt,creative,1070,2514,22,10,3,2,1,8.69,234,552,786
Contextual,precise,768,2117,10,5,4,2,3,3.68,182,513,695
Contextual,default,768,2670,14,7,4,2,2,3.78,182,539,721
Contextual,creative,768,2182,11,6,3,1,3,3.48,182,482,664
Tree of Thoughts,precise,1754,3625,29,4,3,2,2,4.69,396,813,1209
Tree of Thoughts,default,1754,6586,38,8,3,1,1,8.08,396,1429,1825
Tree of Thoughts,creative,1754,3897,13,6,2,1,1,5.20,396,798,1194
ReAct,precise,1820,1209,9,3,4,2,2,2.03,434,269,703
ReAct,default,1820,1301,9,3,4,2,2,2.15,434,286,720
ReAct,creative,1820,1262,9,3,3,2,2,2.14,434,267,701
