Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,589,1364,13,5,4,2,3,2.31,151,309,460
Zero-shot,default,589,1493,12,4,3,2,2,2.49,151,347,498
Zero-shot,creative,589,1411,13,5,4,2,2,2.45,151,328,479
Few-shot,precise,1481,2805,13,7,3,1,1,3.88,337,639,976
Few-shot,default,1481,3489,14,6,3,1,2,5.14,337,768,1105
Few-shot,creative,1481,3291,13,6,3,1,2,4.68,337,741,1078
Chain-of-Thought,precise,1648,1679,17,7,3,2,1,2.93,381,384,765
Chain-of-Thought,default,1648,1674,17,7,3,1,2,2.84,381,384,765
Chain-of-Thought,creative,1648,1823,17,7,4,2,2,3.12,381,424,805
Self-Consistency,precise,1263,2786,18,6,3,2,2,4.40,276,613,889
Self-Consistency,default,1263,4231,41,21,3,1,1,5.95,276,979,1255
Self-Consistency,creative,1263,2972,29,8,3,2,2,4.73,276,706,982
System Prompt,precise,805,2532,12,5,4,1,3,18.85,190,572,762
System Prompt,default,805,3701,11,5,5,1,3,6.46,190,803,993
System Prompt,creative,805,2473,10,5,4,2,2,3.89,190,534,724
Role Prompt,precise,1060,3114,27,12,3,1,1,4.17,230,661,891
Role Prompt,default,1060,2931,20,10,4,1,1,9.19,230,567,797
Role Prompt,creative,1060,2870,24,10,3,1,1,4.58,230,602,832
Contextual,precise,760,2579,20,10,3,2,2,4.13,179,561,740
Contextual,default,760,2522,18,9,5,1,3,8.99,179,565,744
Contextual,creative,760,2184,14,8,4,2,3,3.48,179,479,658
Tree of Thoughts,precise,1744,1845,18,8,3,2,1,2.86,392,410,802
Tree of Thoughts,default,1744,1495,14,6,4,3,1,2.55,392,339,731
Tree of Thoughts,creative,1744,1518,16,6,3,2,2,2.55,392,356,748
ReAct,precise,1810,986,9,3,4,2,1,2.62,430,225,655
ReAct,default,1810,944,9,3,3,2,1,1.63,430,211,641
ReAct,creative,1810,1035,9,3,3,1,2,1.88,430,231,661
