Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,580,1350,13,6,3,2,2,2.57,153,335,488
Zero-shot,default,580,1465,11,5,5,3,2,2.42,153,326,479
Zero-shot,creative,580,1480,11,5,5,2,2,2.49,153,341,494
Few-shot,precise,1472,3140,17,8,3,1,2,4.59,339,694,1033
Few-shot,default,1472,2883,15,7,4,1,1,3.96,339,629,968
Few-shot,creative,1472,3169,14,6,3,1,1,4.25,339,712,1051
Chain-of-Thought,precise,1639,1514,15,6,3,1,1,2.53,383,351,734
Chain-of-Thought,default,1639,1860,17,7,5,2,1,2.85,383,420,803
Chain-of-Thought,creative,1639,1632,15,6,4,2,1,2.52,383,369,752
Self-Consistency,precise,1254,2388,20,6,3,1,1,3.51,278,555,833
Self-Consistency,default,1254,2061,18,6,3,2,1,3.27,278,494,772
Self-Consistency,creative,1254,3420,27,12,4,1,1,4.87,278,814,1092
System Prompt,precise,796,2300,9,4,4,1,4,3.42,192,513,705
System Prompt,default,796,4306,11,5,1,1,1,5.51,192,918,1110
System Prompt,creative,796,2246,12,6,5,2,4,3.47,192,496,688
Role Prompt,precise,1051,2490,20,10,3,1,1,3.84,232,545,777
Role Prompt,default,1051,2876,20,10,4,2,1,4.36,232,617,849
Role Prompt,creative,1051,2530,18,8,3,1,1,3.69,232,546,778
Contextual,precise,756,2019,11,6,5,2,3,3.23,180,448,628
Contextual,default,756,2150,15,7,5,2,2,3.48,180,481,661
Contextual,creative,756,1967,13,7,4,2,2,3.26,180,429,609
Tree of Thoughts,precise,1735,1430,14,6,3,1,1,2.38,394,350,744
Tree of Thoughts,default,1735,1498,14,6,3,1,1,2.53,394,352,746
Tree of Thoughts,creative,1735,1503,15,6,4,1,1,2.89,394,359,753
ReAct,precise,1801,809,9,3,4,2,1,1.59,432,187,619
ReAct,default,1801,1003,9,3,4,1,1,1.82,432,235,667
ReAct,creative,1801,897,9,3,3,1,1,1.65,432,205,637
