Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,568,856,9,4,2,2,3,1.54,150,199,349
Zero-shot,default,568,873,8,4,3,2,3,1.82,150,212,362
Zero-shot,creative,568,1124,10,5,3,2,3,2.05,150,252,402
Few-shot,precise,1460,2126,12,6,3,2,2,3.33,336,496,832
Few-shot,default,1460,4339,10,5,2,1,1,5.88,336,969,1305
Few-shot,creative,1460,3242,13,6,2,1,2,4.48,336,727,1063
Chain-of-Thought,precise,1627,1237,12,6,2,1,2,2.14,380,288,668
Chain-of-Thought,default,1627,1618,14,7,3,2,2,2.55,380,375,755
Chain-of-Thought,creative,1627,1559,14,6,2,2,1,2.40,380,361,741
Self-Consistency,precise,1242,1833,15,6,3,2,3,2.91,275,405,680
Self-Consistency,default,1242,1803,15,6,3,3,3,2.86,275,405,680
Self-Consistency,creative,1242,2230,20,8,4,1,3,3.54,275,513,788
System Prompt,precise,784,2097,10,5,3,1,2,3.40,189,472,661
System Prompt,default,784,2275,10,5,2,2,2,3.71,189,528,717
System Prompt,creative,784,2644,10,5,3,2,2,4.05,189,602,791
Role Prompt,precise,1039,2667,20,10,2,1,1,3.98,229,585,814
Role Prompt,default,1039,2848,20,10,3,1,2,3.89,229,613,842
Role Prompt,creative,1039,2807,20,10,2,2,1,3.68,229,577,806
Contextual,precise,751,1558,11,6,4,3,3,2.36,179,327,506
Contextual,default,751,1675,10,6,4,3,3,2.61,179,354,533
Contextual,creative,751,1650,9,5,4,2,3,2.52,179,358,537
Tree of Thoughts,precise,1723,948,10,5,3,2,2,1.76,391,242,633
Tree of Thoughts,default,1723,1214,10,4,3,2,2,2.07,391,287,678
Tree of Thoughts,creative,1723,1050,9,5,3,1,2,1.80,391,247,638
ReAct,precise,1789,992,9,3,3,3,3,1.74,429,227,656
ReAct,default,1789,1063,9,3,4,3,4,1.94,429,237,666
ReAct,creative,1789,1311,9,3,4,2,3,2.04,429,288,717
