Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,607,1741,12,4,3,2,1,2.89,158,391,549
Zero-shot,default,607,1975,11,4,5,3,1,3.27,158,449,607
Zero-shot,creative,607,2133,14,4,3,2,2,3.47,158,476,634
Few-shot,precise,1499,3693,23,8,3,1,1,5.10,344,851,1195
Few-shot,default,1499,4305,15,7,2,1,1,6.20,344,996,1340
Few-shot,creative,1499,2724,16,6,3,2,1,4.06,344,639,983
Chain-of-Thought,precise,1666,2030,19,6,4,2,1,3.34,388,478,866
Chain-of-Thought,default,1666,2622,27,7,3,2,1,3.99,388,605,993
Chain-of-Thought,creative,1666,2308,21,6,3,2,1,3.31,388,532,920
Self-Consistency,precise,1281,2224,18,6,2,2,1,3.63,283,508,791
Self-Consistency,default,1281,2552,20,6,3,2,1,4.19,283,596,879
Self-Consistency,creative,1281,2283,20,6,3,2,1,3.38,283,519,802
System Prompt,precise,823,2753,13,5,4,2,2,4.17,197,618,815
System Prompt,default,823,2944,11,5,5,2,2,4.70,197,634,831
System Prompt,creative,823,3523,14,6,5,2,4,4.99,197,723,920
Role Prompt,precise,1078,3410,25,10,3,2,1,5.03,237,748,985
Role Prompt,default,1078,3426,21,9,3,1,1,5.05,237,735,972
Role Prompt,creative,1078,3765,32,9,3,2,1,5.15,237,860,1097
Contextual,precise,789,3463,15,7,5,3,3,5.12,186,734,920
Contextual,default,789,3622,20,10,5,2,3,5.50,186,791,977
Contextual,creative,789,3128,17,7,4,2,3,4.95,186,689,875
Tree of Thoughts,precise,1762,1901,19,7,3,2,1,3.14,399,441,840
Tree of Thoughts,default,1762,1599,16,6,3,2,1,2.66,399,375,774
Tree of Thoughts,creative,1762,1814,17,7,2,2,1,2.96,399,418,817
ReAct,precise,1828,1412,9,3,3,3,1,2.20,437,287,724
ReAct,default,1828,1535,9,3,3,2,1,2.34,437,322,759
ReAct,creative,1828,1258,9,3,3,2,2,2.06,437,266,703
