Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,672,1911,15,5,5,2,1,2.81,167,428,595
Zero-shot,default,672,2191,16,5,4,1,1,3.37,167,491,658
Zero-shot,creative,672,1625,10,4,4,2,3,2.81,167,362,529
Few-shot,precise,1564,3396,20,8,5,1,2,4.81,353,781,1134
Few-shot,default,1564,3415,17,8,4,1,1,5.00,353,778,1131
Few-shot,creative,1564,3493,16,8,5,2,1,4.91,353,773,1126
Chain-of-Thought,precise,1731,2395,20,8,4,2,1,3.98,397,548,945
Chain-of-Thought,default,1731,1935,18,6,4,1,1,3.05,397,450,847
Chain-of-Thought,creative,1731,2220,17,6,4,1,1,3.17,397,480,877
Self-Consistency,precise,1346,2574,20,6,2,2,1,3.89,292,585,877
Self-Consistency,default,1346,4093,34,10,3,2,2,5.82,292,939,1231
Self-Consistency,creative,1346,2613,25,7,3,2,1,4.08,292,600,892
System Prompt,precise,888,2366,11,5,4,1,3,4.10,206,500,706
System Prompt,default,888,2108,11,5,5,2,2,3.51,206,528,734
System Prompt,creative,888,3213,14,6,5,1,5,4.72,206,667,873
Role Prompt,precise,1143,3407,25,10,3,1,1,5.36,246,745,991
Role Prompt,default,1143,3219,23,9,3,1,1,5.09,246,710,956
Role Prompt,creative,1143,3939,26,10,3,1,1,5.25,246,856,1102
Contextual,precise,923,2099,12,6,5,2,4,3.04,205,437,642
Contextual,default,923,2166,16,7,4,2,3,3.47,205,487,692
Contextual,creative,923,2245,14,7,5,2,3,3.59,205,506,711
Tree of Thoughts,precise,1827,1431,12,5,3,1,1,2.74,408,400,808
Tree of Thoughts,default,1827,1866,14,5,5,1,1,3.11,408,471,879
Tree of Thoughts,creative,1827,1580,15,6,4,1,2,2.72,408,356,764
ReAct,precise,1893,1238,9,3,4,3,2,2.23,446,262,708
ReAct,default,1893,1391,9,3,5,3,2,2.24,446,307,753
ReAct,creative,1893,1220,9,3,4,2,2,2.15,446,260,706
