Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,577,1374,9,4,3,3,3,2.68,148,314,462
Zero-shot,default,577,1217,9,4,3,3,3,2.62,148,271,419
Zero-shot,creative,577,1405,8,4,5,2,4,2.47,148,315,463
Few-shot,precise,1469,3244,16,8,3,2,2,4.72,334,729,1063
Few-shot,default,1469,3709,14,7,2,1,1,5.59,334,843,1177
Few-shot,creative,1469,3414,17,8,2,1,1,5.13,334,792,1126
Chain-of-Thought,precise,1636,1860,15,7,3,1,1,3.35,378,416,794
Chain-of-Thought,default,1636,2167,18,8,3,2,2,3.15,378,484,862
Chain-of-Thought,creative,1636,1902,17,8,3,2,2,3.39,378,461,839
Self-Consistency,precise,1251,2078,15,6,3,2,3,3.30,273,479,752
Self-Consistency,default,1251,2692,21,9,4,2,2,4.45,273,640,913
Self-Consistency,creative,1251,2874,24,11,3,2,2,4.95,273,689,962
System Prompt,precise,793,1985,11,5,4,1,3,3.62,187,446,633
System Prompt,default,793,1980,10,5,4,1,3,3.98,187,447,634
System Prompt,creative,793,2283,11,5,4,1,3,4.00,187,480,667
Role Prompt,precise,1048,2755,20,10,3,2,2,3.89,227,600,827
Role Prompt,default,1048,2927,20,10,4,2,2,4.23,227,640,867
Role Prompt,creative,1048,2821,20,10,4,2,2,4.45,227,646,873
Contextual,precise,770,2306,15,7,4,2,2,3.58,177,526,703
Contextual,default,770,1823,12,7,4,2,3,2.77,177,404,581
Contextual,creative,770,1814,10,6,4,2,3,2.95,177,410,587
Tree of Thoughts,precise,1732,1267,12,6,3,1,2,2.22,389,304,693
Tree of Thoughts,default,1732,1343,10,5,3,1,2,2.26,389,314,703
Tree of Thoughts,creative,1732,2000,14,7,3,2,3,3.27,389,473,862
ReAct,precise,1798,1148,9,3,3,2,2,1.93,427,248,675
ReAct,default,1798,2439,18,6,3,3,1,3.07,427,510,937
ReAct,creative,1798,1428,9,3,3,2,1,2.04,427,294,721
