Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,570,1864,14,6,4,2,2,2.76,146,407,553
Zero-shot,default,570,1615,13,4,4,2,2,2.59,146,366,512
Zero-shot,creative,570,1746,13,5,4,2,3,2.62,146,386,532
Few-shot,precise,1462,3242,17,8,3,2,1,4.70,332,691,1023
Few-shot,default,1462,4784,15,7,3,2,2,6.75,332,1021,1353
Few-shot,creative,1462,3229,16,7,4,2,2,4.19,332,662,994
Chain-of-Thought,precise,1629,1938,17,7,3,2,2,2.95,376,443,819
Chain-of-Thought,default,1629,2002,18,7,3,2,2,3.28,376,458,834
Chain-of-Thought,creative,1629,2060,16,6,4,2,2,2.96,376,446,822
Self-Consistency,precise,1244,2343,19,6,3,2,2,3.31,271,532,803
Self-Consistency,default,1244,2804,26,9,3,2,2,4.25,271,633,904
Self-Consistency,creative,1244,2213,20,6,3,2,2,3.12,271,481,752
System Prompt,precise,786,2349,16,6,3,2,2,3.72,185,530,715
System Prompt,default,786,3882,20,10,4,1,3,5.21,185,820,1005
System Prompt,creative,786,3882,16,7,4,3,2,5.72,185,903,1088
Role Prompt,precise,1041,3158,22,10,3,2,1,4.48,225,669,894
Role Prompt,default,1041,3455,23,10,3,2,1,4.87,225,740,965
Role Prompt,creative,1041,3544,25,10,3,2,1,4.75,225,739,964
Contextual,precise,748,2418,16,8,4,2,2,3.37,173,503,676
Contextual,default,748,1575,10,5,5,1,3,2.55,173,341,514
Contextual,creative,748,2456,12,5,5,2,3,3.48,173,494,667
Tree of Thoughts,precise,1725,1809,18,8,3,2,2,2.85,387,409,796
Tree of Thoughts,default,1725,1364,14,6,3,2,2,2.45,387,322,709
Tree of Thoughts,creative,1725,1243,13,5,4,2,2,2.05,387,294,681
ReAct,precise,1791,1138,9,3,4,3,1,2.13,425,239,664
ReAct,default,1791,2160,18,6,4,3,2,2.86,425,464,889
ReAct,creative,1791,1810,18,6,3,3,1,2.55,425,396,821
