Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,663,1432,11,5,4,2,2,2.09,163,290,453
Zero-shot,default,663,1860,13,6,4,2,1,3.03,163,392,555
Zero-shot,creative,663,1419,9,4,4,2,2,2.32,163,291,454
Few-shot,precise,1555,4700,14,6,2,1,1,6.39,349,1030,1379
Few-shot,default,1555,3302,16,8,3,2,1,4.54,349,711,1060
Few-shot,creative,1555,2647,14,6,4,1,2,3.83,349,571,920
Chain-of-Thought,precise,1722,1726,15,6,3,2,1,2.50,393,350,743
Chain-of-Thought,default,1722,1845,13,5,5,3,1,2.76,393,389,782
Chain-of-Thought,creative,1722,1700,15,5,4,1,1,2.66,393,365,758
Self-Consistency,precise,1337,2530,18,6,3,2,1,3.43,288,552,840
Self-Consistency,default,1337,2757,22,8,3,2,1,3.96,288,598,886
Self-Consistency,creative,1337,2594,21,9,3,2,1,3.84,288,579,867
System Prompt,precise,879,2273,9,4,3,1,1,3.91,202,496,698
System Prompt,default,879,2285,10,5,4,2,1,6.16,202,503,705
System Prompt,creative,879,2246,9,4,5,2,4,3.84,202,457,659
Role Prompt,precise,1134,2590,20,10,3,2,1,3.80,242,540,782
Role Prompt,default,1134,2170,18,8,4,2,1,3.57,242,457,699
Role Prompt,creative,1134,3056,20,10,3,2,1,4.12,242,607,849
Contextual,precise,837,2128,15,8,4,3,1,3.21,190,442,632
Contextual,default,837,2289,16,6,4,2,2,3.47,190,487,677
Contextual,creative,837,2122,14,6,4,2,2,3.39,190,432,622
Tree of Thoughts,precise,1818,1860,14,6,3,1,1,2.93,404,392,796
Tree of Thoughts,default,1818,1377,12,6,3,2,1,2.20,404,296,700
Tree of Thoughts,creative,1818,4324,40,8,3,2,1,5.35,404,917,1321
ReAct,precise,1884,1049,9,3,4,3,1,2.90,442,221,663
ReAct,default,1884,1138,9,3,5,2,1,2.01,442,230,672
ReAct,creative,1884,1298,9,3,5,3,1,2.34,442,261,703
