Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,632,1523,12,5,3,2,2,2.65,159,332,491
Zero-shot,default,632,1408,10,4,3,1,1,2.45,159,302,461
Zero-shot,creative,632,1521,12,4,2,2,1,2.51,159,341,500
Few-shot,precise,1524,3540,12,7,3,1,1,4.87,345,795,1140
Few-shot,default,1524,4446,18,8,2,1,1,6.22,345,978,1323
Few-shot,creative,1524,3954,17,8,3,1,1,5.72,345,883,1228
Chain-of-Thought,precise,1691,1764,17,8,3,2,2,3.06,389,389,778
Chain-of-Thought,default,1691,1824,17,7,2,2,1,2.96,389,424,813
Chain-of-Thought,creative,1691,1552,15,7,2,2,1,2.65,389,356,745
Self-Consistency,precise,1306,2051,18,6,2,3,1,3.27,284,473,757
Self-Consistency,default,1306,2344,21,9,3,2,2,3.47,284,546,830
Self-Consistency,creative,1306,2872,24,9,2,3,1,4.29,284,660,944
System Prompt,precise,848,2557,11,5,5,1,3,3.96,198,575,773
System Prompt,default,848,2360,10,5,4,1,2,4.21,198,608,806
System Prompt,creative,848,2452,12,6,4,1,3,3.69,198,525,723
Role Prompt,precise,1103,3551,24,10,3,2,1,4.66,238,748,986
Role Prompt,default,1103,3040,26,11,2,2,1,4.54,238,691,929
Role Prompt,creative,1103,3729,29,12,2,1,1,5.19,238,832,1070
Contextual,precise,883,2061,15,8,4,1,1,3.27,197,449,646
Contextual,default,883,1943,10,5,5,2,3,3.27,197,415,612
Contextual,creative,883,1972,10,6,3,1,3,3.16,197,429,626
Tree of Thoughts,precise,1787,1243,14,7,3,1,2,2.13,400,289,689
Tree of Thoughts,default,1787,1129,13,5,3,2,1,1.96,400,260,660
Tree of Thoughts,creative,1787,1452,14,7,3,2,1,2.56,400,331,731
ReAct,precise,1853,1136,9,3,3,2,1,2.04,438,244,682
ReAct,default,1853,1136,9,3,3,3,1,1.76,438,231,669
ReAct,creative,1853,1081,9,3,3,3,1,1.72,438,225,663
