Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,553,1651,14,5,3,2,2,2.99,146,405,551
Zero-shot,default,553,1419,12,5,3,2,1,2.53,146,346,492
Zero-shot,creative,553,1626,10,4,4,1,2,2.75,146,402,548
Few-shot,precise,1445,3288,17,8,5,1,2,4.92,332,793,1125
Few-shot,default,1445,3068,19,9,4,1,2,5.05,332,738,1070
Few-shot,creative,1445,2552,17,8,3,1,1,4.27,332,610,942
Chain-of-Thought,precise,1612,1883,17,7,3,1,1,4.26,376,453,829
Chain-of-Thought,default,1612,1967,17,7,3,1,1,7.96,376,462,838
Chain-of-Thought,creative,1612,2345,18,8,4,1,1,3.31,376,540,916
Self-Consistency,precise,1227,1869,20,6,3,2,2,2.98,271,462,733
Self-Consistency,default,1227,2404,20,7,4,2,2,4.03,271,569,840
Self-Consistency,creative,1227,2231,20,8,3,2,2,4.54,271,515,786
System Prompt,precise,769,2853,11,5,5,2,1,4.77,185,648,833
System Prompt,default,769,2514,10,4,4,1,1,3.92,185,570,755
System Prompt,creative,769,3060,17,8,5,1,3,4.91,185,725,910
Role Prompt,precise,1024,2671,22,10,3,1,1,4.11,225,606,831
Role Prompt,default,1024,2704,20,10,3,1,1,4.01,225,602,827
Role Prompt,creative,1024,2917,22,10,3,1,1,4.17,225,651,876
Contextual,precise,752,2070,12,7,4,2,2,3.27,177,466,643
Contextual,default,752,2525,13,7,5,2,3,3.63,177,559,736
Contextual,creative,752,2560,10,5,4,1,1,4.26,177,553,730
Tree of Thoughts,precise,1708,1807,16,7,2,1,1,2.94,387,443,830
Tree of Thoughts,default,1708,1280,13,6,3,1,1,2.14,387,304,691
Tree of Thoughts,creative,1708,1489,14,6,3,1,1,2.63,387,354,741
ReAct,precise,1774,2221,18,6,3,2,1,3.06,425,500,925
ReAct,default,1774,1134,9,3,4,2,1,1.61,425,246,671
ReAct,creative,1774,1221,9,3,3,2,1,2.18,425,277,702
