Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,595,1878,13,5,3,1,2,3.16,154,432,586
Zero-shot,default,595,1801,11,4,3,2,2,2.99,154,416,570
Zero-shot,creative,595,1919,13,6,3,2,2,3.34,154,453,607
Few-shot,precise,1487,3575,18,10,3,1,2,4.94,340,812,1152
Few-shot,default,1487,4799,15,8,3,1,1,6.62,340,1053,1393
Few-shot,creative,1487,4030,18,8,2,1,1,6.13,340,966,1306
Chain-of-Thought,precise,1654,1929,17,7,3,2,1,3.16,384,466,850
Chain-of-Thought,default,1654,1985,17,7,2,1,1,3.24,384,476,860
Chain-of-Thought,creative,1654,2162,15,7,3,1,2,3.33,384,484,868
Self-Consistency,precise,1269,2869,27,8,3,1,2,3.91,279,655,934
Self-Consistency,default,1269,2478,20,9,3,2,2,3.72,279,559,838
Self-Consistency,creative,1269,2188,18,7,3,1,2,3.34,279,497,776
System Prompt,precise,811,2718,14,6,2,1,1,4.31,193,708,901
System Prompt,default,811,3386,10,5,3,1,2,5.02,193,749,942
System Prompt,creative,811,1977,10,5,3,1,3,3.20,193,458,651
Role Prompt,precise,1066,2546,20,10,3,1,1,3.57,233,574,807
Role Prompt,default,1066,2530,16,8,2,1,1,3.73,233,552,785
Role Prompt,creative,1066,2995,20,10,3,1,1,4.32,233,654,887
Contextual,precise,794,1991,10,5,4,2,2,3.40,185,429,614
Contextual,default,794,2590,11,6,4,1,2,4.03,185,530,715
Contextual,creative,794,2172,13,7,5,2,3,3.54,185,478,663
Tree of Thoughts,precise,1750,1786,14,7,3,1,2,2.86,395,416,811
Tree of Thoughts,default,1750,1818,17,7,2,1,1,3.16,395,431,826
Tree of Thoughts,creative,1750,1898,11,5,3,1,2,3.14,395,433,828
ReAct,precise,1816,908,9,3,3,1,1,1.69,433,203,636
ReAct,default,1816,1267,9,3,3,1,1,2.21,433,280,713
ReAct,creative,1816,1624,9,3,4,2,2,2.63,433,354,787
