Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,577,1385,12,5,4,2,2,2.34,152,328,480
Zero-shot,default,577,1044,9,4,5,3,1,2.14,152,263,415
Zero-shot,creative,577,1457,11,5,3,2,2,2.76,152,346,498
Few-shot,precise,1469,3039,15,7,4,2,2,4.51,338,733,1071
Few-shot,default,1469,2803,15,6,4,2,1,4.08,338,664,1002
Few-shot,creative,1469,4728,20,10,3,1,1,6.87,338,1095,1433
Chain-of-Thought,precise,1636,1764,17,7,3,1,1,2.72,382,421,803
Chain-of-Thought,default,1636,2004,16,6,3,2,1,3.28,382,469,851
Chain-of-Thought,creative,1636,1971,14,5,3,1,1,3.10,382,454,836
Self-Consistency,precise,1251,1691,15,6,2,2,1,2.71,277,412,689
Self-Consistency,default,1251,2956,27,11,4,2,2,4.09,277,701,978
Self-Consistency,creative,1251,2544,18,6,3,1,2,3.87,277,620,897
System Prompt,precise,793,2129,13,6,4,1,1,3.59,191,520,711
System Prompt,default,793,2044,10,5,5,2,3,3.37,191,450,641
System Prompt,creative,793,2313,11,5,2,1,2,3.87,191,572,763
Role Prompt,precise,1048,2448,20,10,3,1,1,3.69,231,563,794
Role Prompt,default,1048,2901,22,10,3,1,1,4.50,231,641,872
Role Prompt,creative,1048,2753,19,9,3,1,1,4.49,231,632,863
Contextual,precise,776,1732,14,7,3,1,1,2.96,183,449,632
Contextual,default,776,2258,12,6,4,2,3,3.97,183,538,721
Contextual,creative,776,1694,10,5,5,2,4,3.40,183,395,578
Tree of Thoughts,precise,1732,1364,13,6,3,1,1,2.75,393,322,715
Tree of Thoughts,default,1732,1256,13,5,4,1,1,2.55,393,305,698
Tree of Thoughts,creative,1732,1133,12,5,3,2,1,2.32,393,287,680
ReAct,precise,1798,1132,9,3,3,2,1,2.07,431,255,686
ReAct,default,1798,1061,9,3,3,2,1,1.90,431,246,677
ReAct,creative,1798,1348,9,3,5,3,3,2.89,431,342,773
