Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,620,1359,12,5,4,1,2,2.26,156,318,474
Zero-shot,default,620,1908,12,5,5,2,4,3.09,156,424,580
Zero-shot,creative,620,1587,13,6,3,1,3,2.60,156,362,518
Few-shot,precise,1512,2850,17,8,4,1,2,4.14,342,651,993
Few-shot,default,1512,3423,16,6,4,2,1,4.94,342,730,1072
Few-shot,creative,1512,2885,19,9,4,2,2,10.20,342,640,982
Chain-of-Thought,precise,1679,1844,17,7,5,1,2,3.45,386,419,805
Chain-of-Thought,default,1679,1775,17,7,3,1,1,3.08,386,401,787
Chain-of-Thought,creative,1679,2308,20,8,5,1,1,3.68,386,528,914
Self-Consistency,precise,1294,2136,18,6,4,2,1,3.67,281,495,776
Self-Consistency,default,1294,1866,18,6,3,1,1,2.64,281,416,697
Self-Consistency,creative,1294,2150,23,9,3,1,1,3.37,281,499,780
System Prompt,precise,836,2216,14,6,5,2,2,3.78,195,519,714
System Prompt,default,836,2358,14,6,5,1,4,3.77,195,553,748
System Prompt,creative,836,2496,11,5,5,1,2,4.29,195,640,835
Role Prompt,precise,1091,2502,22,10,3,1,1,3.65,235,555,790
Role Prompt,default,1091,2315,22,10,3,1,1,3.39,235,514,749
Role Prompt,creative,1091,2448,20,8,3,1,1,3.88,235,527,762
Contextual,precise,794,2088,13,6,5,2,1,3.53,183,540,723
Contextual,default,794,2403,13,6,5,3,2,4.14,183,591,774
Contextual,creative,794,2671,13,6,4,1,2,4.84,183,676,859
Tree of Thoughts,precise,1775,1534,18,8,3,1,1,2.82,397,367,764
Tree of Thoughts,default,1775,1230,14,6,3,1,2,2.18,397,294,691
Tree of Thoughts,creative,1775,1697,15,7,4,1,2,2.92,397,366,763
ReAct,precise,1841,817,9,3,4,3,1,1.48,435,181,616
ReAct,default,1841,1013,9,3,4,2,2,1.78,435,228,663
ReAct,creative,1841,1775,18,6,4,2,1,2.44,435,404,839
