Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,620,1459,11,4,4,3,1,2.85,160,327,487
Zero-shot,default,620,1359,10,4,3,3,1,4.19,160,312,472
Zero-shot,creative,620,1247,12,4,3,2,1,2.55,160,313,473
Few-shot,precise,1512,3658,18,8,5,2,2,5.10,346,880,1226
Few-shot,default,1512,5268,17,8,3,1,1,7.38,346,1234,1580
Few-shot,creative,1512,3311,14,6,4,1,1,4.79,346,790,1136
Chain-of-Thought,precise,1679,1836,16,6,4,4,1,3.30,390,458,848
Chain-of-Thought,default,1679,1845,16,6,4,4,1,3.23,390,448,838
Chain-of-Thought,creative,1679,1821,14,6,4,3,2,2.96,390,428,818
Self-Consistency,precise,1294,2238,17,6,3,3,2,3.68,285,527,812
Self-Consistency,default,1294,2375,20,6,4,2,1,3.68,285,570,855
Self-Consistency,creative,1294,2692,21,7,3,2,1,4.37,285,661,946
System Prompt,precise,836,1822,13,5,5,1,1,3.81,199,560,759
System Prompt,default,836,1845,13,5,3,2,2,3.06,199,436,635
System Prompt,creative,836,1817,12,6,3,2,2,3.16,199,408,607
Role Prompt,precise,1091,3006,24,10,4,2,1,4.50,239,707,946
Role Prompt,default,1091,3291,22,10,3,2,1,4.70,239,734,973
Role Prompt,creative,1091,2426,21,9,3,1,1,3.77,239,583,822
Contextual,precise,797,1904,13,8,5,3,2,3.16,188,452,640
Contextual,default,797,1660,11,6,5,3,5,2.76,188,383,571
Contextual,creative,797,2242,13,6,4,3,2,3.47,188,496,684
Tree of Thoughts,precise,1775,1362,14,6,4,2,2,2.58,401,347,748
Tree of Thoughts,default,1775,960,10,5,4,2,1,2.33,401,238,639
Tree of Thoughts,creative,1775,1214,14,6,3,1,1,2.14,401,324,725
ReAct,precise,1841,1099,9,3,4,4,1,2.04,439,245,684
ReAct,default,1841,1173,9,3,2,2,1,2.45,439,279,718
ReAct,creative,1841,2181,18,6,3,3,1,3.25,439,502,941
