Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,614,1686,11,4,4,2,3,2.56,154,360,514
Zero-shot,default,614,1634,12,4,4,2,2,2.55,154,351,505
Zero-shot,creative,614,1750,13,6,4,2,2,2.95,154,359,513
Few-shot,precise,1506,4088,20,10,3,2,1,5.01,340,841,1181
Few-shot,default,1506,4751,16,7,2,1,1,6.15,340,1008,1348
Few-shot,creative,1506,4258,19,9,3,1,1,5.71,340,880,1220
Chain-of-Thought,precise,1673,2297,18,8,3,3,1,3.27,384,477,861
Chain-of-Thought,default,1673,1996,16,7,3,2,1,2.85,384,414,798
Chain-of-Thought,creative,1673,2286,17,7,4,2,1,3.27,384,472,856
Self-Consistency,precise,1288,2626,22,8,2,2,1,3.61,279,587,866
Self-Consistency,default,1288,2469,23,8,2,2,1,3.35,279,559,838
Self-Consistency,creative,1288,2516,17,6,3,3,1,3.76,279,537,816
System Prompt,precise,830,3245,11,5,3,1,4,4.74,193,755,948
System Prompt,default,830,3067,12,5,4,1,3,4.25,193,640,833
System Prompt,creative,830,2244,10,4,5,1,3,3.78,193,503,696
Role Prompt,precise,1085,3795,24,10,3,2,1,4.73,233,786,1019
Role Prompt,default,1085,3424,27,12,3,2,1,4.79,233,736,969
Role Prompt,creative,1085,3935,27,10,3,2,1,5.39,233,833,1066
Contextual,precise,797,3787,20,10,5,2,4,4.90,185,752,937
Contextual,default,797,3297,20,10,5,2,4,5.01,185,685,870
Contextual,creative,797,2850,14,7,5,1,4,19.56,185,594,779
Tree of Thoughts,precise,1769,1905,14,6,3,2,1,9.13,395,416,811
Tree of Thoughts,default,1769,1028,10,5,2,2,1,2.69,395,222,617
Tree of Thoughts,creative,1769,1994,14,3,3,2,1,3.41,395,426,821
ReAct,precise,1835,1145,9,3,3,3,2,7.14,433,243,676
ReAct,default,1835,1395,9,3,2,2,1,2.60,433,277,710
ReAct,creative,1835,2115,18,6,4,2,2,3.03,433,452,885
