Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,633,1269,9,4,3,2,2,2.52,158,284,442
Zero-shot,default,633,1175,9,4,3,1,1,2.03,158,266,424
Zero-shot,creative,633,1142,9,4,4,2,2,1.98,158,254,412
Few-shot,precise,1525,2676,11,5,3,3,1,3.61,344,602,946
Few-shot,default,1525,4659,12,6,4,2,1,5.71,344,961,1305
Few-shot,creative,1525,2070,11,5,3,1,2,3.18,344,462,806
Chain-of-Thought,precise,1692,1517,12,5,3,2,1,2.40,388,338,726
Chain-of-Thought,default,1692,1642,13,5,3,2,2,2.92,388,356,744
Chain-of-Thought,creative,1692,1578,10,4,2,1,1,3.63,388,330,718
Self-Consistency,precise,1307,2479,18,6,3,2,1,3.46,283,539,822
Self-Consistency,default,1307,2259,17,6,4,2,1,3.44,283,523,806
Self-Consistency,creative,1307,3417,23,9,3,1,1,4.66,283,741,1024
System Prompt,precise,849,2347,10,5,3,1,3,3.53,197,575,772
System Prompt,default,849,1885,9,4,4,3,4,2.66,197,392,589
System Prompt,creative,849,2647,6,3,3,2,2,3.54,197,517,714
Role Prompt,precise,1104,2575,16,7,3,2,1,3.52,237,531,768
Role Prompt,default,1104,2558,16,8,3,1,1,3.80,237,527,764
Role Prompt,creative,1104,2524,17,8,3,1,1,3.72,237,536,773
Contextual,precise,809,2150,12,6,4,2,2,3.23,186,452,638
Contextual,default,809,2663,16,9,3,2,1,3.78,186,546,732
Contextual,creative,809,1928,10,5,4,2,3,3.16,186,447,633
Tree of Thoughts,precise,1788,1363,12,5,2,2,1,2.35,399,298,697
Tree of Thoughts,default,1788,1449,12,5,2,2,1,2.45,399,314,713
Tree of Thoughts,creative,1788,1438,11,5,3,1,1,2.14,399,297,696
ReAct,precise,1854,1195,9,3,2,2,1,2.05,437,249,686
ReAct,default,1854,1079,9,3,3,2,2,1.83,437,238,675
ReAct,creative,1854,2708,18,6,2,2,1,3.26,437,572,1009
