Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,620,1154,11,4,2,2,2,2.14,161,269,430
Zero-shot,default,620,1466,13,4,3,2,1,2.35,161,338,499
Zero-shot,creative,620,1585,12,5,4,1,1,2.86,161,358,519
Few-shot,precise,1512,2700,16,6,3,2,1,4.00,347,622,969
Few-shot,default,1512,2470,16,6,3,1,2,3.53,347,580,927
Few-shot,creative,1512,2159,11,5,4,1,2,3.19,347,476,823
Chain-of-Thought,precise,1679,1401,13,5,3,1,2,2.77,391,340,731
Chain-of-Thought,default,1679,1760,15,5,4,1,1,2.97,391,395,786
Chain-of-Thought,creative,1679,1361,14,5,3,1,2,2.20,391,326,717
Self-Consistency,precise,1294,2001,18,6,2,1,1,3.23,286,471,757
Self-Consistency,default,1294,2513,23,9,3,1,2,4.19,286,598,884
Self-Consistency,creative,1294,2373,21,8,2,1,1,3.96,286,539,825
System Prompt,precise,836,1698,13,6,4,1,2,2.89,200,419,619
System Prompt,default,836,2037,13,6,5,1,3,3.49,200,442,642
System Prompt,creative,836,1868,8,4,4,1,3,3.03,200,394,594
Role Prompt,precise,1091,2295,19,9,3,1,1,3.78,240,520,760
Role Prompt,default,1091,2259,18,8,3,1,1,3.68,240,498,738
Role Prompt,creative,1091,2348,19,8,3,1,1,3.74,240,524,764
Contextual,precise,795,1925,17,9,4,1,1,3.10,188,443,631
Contextual,default,795,2136,16,8,4,1,2,3.35,188,458,646
Contextual,creative,795,1892,15,8,5,2,2,2.87,188,433,621
Tree of Thoughts,precise,1775,1186,11,5,4,1,1,2.15,402,273,675
Tree of Thoughts,default,1775,959,10,4,3,1,2,1.93,402,228,630
Tree of Thoughts,creative,1775,1024,11,5,3,1,2,2.35,402,240,642
ReAct,precise,1841,925,9,3,4,2,1,1.73,440,212,652
ReAct,default,1841,1082,9,3,3,1,1,1.76,440,240,680
ReAct,creative,1841,1094,9,3,4,2,2,2.23,440,242,682
