Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,559,2086,15,5,4,1,1,3.26,145,474,619
Zero-shot,default,559,2075,15,4,4,1,1,3.17,145,453,598
Zero-shot,creative,559,1734,12,5,4,1,2,2.83,145,401,546
Few-shot,precise,1451,3346,20,10,3,1,1,4.95,331,769,1100
Few-shot,default,1451,4477,15,8,3,1,1,6.20,331,999,1330
Few-shot,creative,1451,4174,21,10,3,2,1,5.96,331,994,1325
Chain-of-Thought,precise,1618,2647,23,8,3,1,1,3.85,375,603,978
Chain-of-Thought,default,1618,2552,24,9,3,1,1,4.24,375,605,980
Chain-of-Thought,creative,1618,1841,16,7,3,1,1,2.80,375,415,790
Self-Consistency,precise,1233,3399,27,11,3,2,1,4.84,270,758,1028
Self-Consistency,default,1233,3282,31,12,4,2,2,4.71,270,780,1050
Self-Consistency,creative,1233,3133,26,11,2,1,1,4.69,270,727,997
System Prompt,precise,775,5404,12,5,2,1,1,7.46,184,1102,1286
System Prompt,default,775,3754,14,6,5,1,1,4.90,184,799,983
System Prompt,creative,775,2950,14,6,4,1,3,4.90,184,750,934
Role Prompt,precise,1030,4081,30,13,3,2,1,5.72,224,888,1112
Role Prompt,default,1030,3676,24,10,2,1,1,5.11,224,794,1018
Role Prompt,creative,1030,3855,30,10,3,1,1,4.98,224,824,1048
Contextual,precise,737,2391,18,10,4,1,1,3.70,172,528,700
Contextual,default,737,2712,13,7,4,1,2,4.09,172,562,734
Contextual,creative,737,2380,16,8,3,2,2,8.90,172,523,695
Tree of Thoughts,precise,1714,1365,16,8,3,1,1,7.34,386,327,713
Tree of Thoughts,default,1714,1844,17,7,3,1,1,3.06,386,429,815
Tree of Thoughts,creative,1714,2197,18,8,3,2,2,3.58,386,504,890
ReAct,precise,1780,1102,9,3,3,2,1,1.94,424,247,671
ReAct,default,1780,933,9,3,3,2,1,1.63,424,209,633
ReAct,creative,1780,1152,9,3,4,3,1,2.35,424,256,680
