Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,618,1248,11,4,3,1,1,2.24,158,296,454
Zero-shot,default,618,1254,12,4,3,2,2,2.45,158,308,466
Zero-shot,creative,618,1638,14,5,2,2,1,2.66,158,398,556
Few-shot,precise,1510,2964,16,7,3,2,1,4.19,344,683,1027
Few-shot,default,1510,3430,24,10,2,2,1,4.90,344,814,1158
Few-shot,creative,1510,2434,17,7,3,1,1,3.57,344,582,926
Chain-of-Thought,precise,1677,1686,17,7,3,1,1,2.83,388,403,791
Chain-of-Thought,default,1677,1875,17,7,4,1,1,3.08,388,444,832
Chain-of-Thought,creative,1677,1811,17,7,3,2,1,3.06,388,435,823
Self-Consistency,precise,1292,2345,19,7,4,2,1,3.80,283,557,840
Self-Consistency,default,1292,2205,18,6,3,2,2,3.45,283,534,817
Self-Consistency,creative,1292,3232,31,11,3,1,1,4.51,283,764,1047
System Prompt,precise,834,2141,13,6,5,1,2,3.15,197,496,693
System Prompt,default,834,2780,9,4,4,2,2,4.51,197,587,784
System Prompt,creative,834,2154,10,5,4,2,2,3.36,197,481,678
Role Prompt,precise,1089,2231,20,10,2,1,1,3.62,237,516,753
Role Prompt,default,1089,2730,23,10,3,1,1,3.84,237,629,866
Role Prompt,creative,1089,2962,22,10,3,2,1,4.40,237,659,896
Contextual,precise,797,2154,11,6,5,2,3,3.59,187,497,684
Contextual,default,797,2572,12,7,5,1,3,4.26,187,678,865
Contextual,creative,797,2504,15,8,3,2,1,3.47,187,537,724
Tree of Thoughts,precise,1773,1525,17,7,3,2,1,2.36,399,363,762
Tree of Thoughts,default,1773,1329,13,5,2,2,1,2.33,399,315,714
Tree of Thoughts,creative,1773,1410,14,5,3,1,1,2.25,399,336,735
ReAct,precise,1839,955,9,3,3,2,2,1.73,437,219,656
ReAct,default,1839,918,9,3,3,2,1,1.87,437,220,657
ReAct,creative,1839,1179,9,3,3,2,1,2.21,437,258,695
