Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,581,1200,12,5,3,2,2,2.14,152,298,450
Zero-shot,default,581,1450,15,6,3,1,2,2.66,152,349,501
Zero-shot,creative,581,1082,11,4,4,2,2,2.09,152,260,412
Few-shot,precise,1473,1941,16,7,3,1,1,3.22,338,492,830
Few-shot,default,1473,2218,17,7,3,1,1,3.47,338,567,905
Few-shot,creative,1473,2391,14,7,3,2,1,3.68,338,561,899
Chain-of-Thought,precise,1640,1580,16,6,3,1,1,2.76,382,415,797
Chain-of-Thought,default,1640,1612,15,6,3,1,1,2.65,382,397,779
Chain-of-Thought,creative,1640,1566,15,6,2,1,1,2.65,382,388,770
Self-Consistency,precise,1255,2131,20,9,3,2,2,3.36,277,513,790
Self-Consistency,default,1255,2565,22,6,3,2,2,3.89,277,631,908
Self-Consistency,creative,1255,1810,18,6,3,3,2,2.75,277,422,699
System Prompt,precise,797,1890,11,5,4,1,3,3.18,191,447,638
System Prompt,default,797,2190,12,6,4,1,2,3.72,191,539,730
System Prompt,creative,797,2334,12,5,4,1,3,4.03,191,537,728
Role Prompt,precise,1052,2033,17,8,3,1,1,3.37,231,470,701
Role Prompt,default,1052,2026,18,8,3,2,1,3.06,231,463,694
Role Prompt,creative,1052,2067,20,10,2,1,1,3.47,231,502,733
Contextual,precise,780,1996,14,7,4,1,2,3.09,183,456,639
Contextual,default,780,2442,17,8,4,2,2,3.94,183,547,730
Contextual,creative,780,2208,16,9,4,1,2,3.45,183,514,697
Tree of Thoughts,precise,1736,1112,12,5,3,1,2,2.25,393,278,671
Tree of Thoughts,default,1736,1002,11,5,3,3,2,1.89,393,229,622
Tree of Thoughts,creative,1736,1164,12,5,3,2,1,2.04,393,270,663
ReAct,precise,1802,1931,18,6,3,2,1,2.93,431,474,905
ReAct,default,1802,2688,18,6,4,2,2,3.81,431,650,1081
ReAct,creative,1802,918,9,3,3,2,1,1.93,431,223,654
