Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,612,1863,15,6,4,2,2,2.97,158,402,560
Zero-shot,default,612,1417,11,5,3,3,3,2.36,158,311,469
Zero-shot,creative,612,1678,14,5,3,2,2,2.43,158,361,519
Few-shot,precise,1504,3328,20,9,3,2,1,4.40,344,740,1084
Few-shot,default,1504,3191,21,8,3,2,2,4.28,344,710,1054
Few-shot,creative,1504,4260,20,8,3,1,1,5.29,344,899,1243
Chain-of-Thought,precise,1671,2336,20,10,3,3,2,3.49,388,523,911
Chain-of-Thought,default,1671,2518,19,7,3,2,2,3.61,388,540,928
Chain-of-Thought,creative,1671,2688,24,7,3,2,2,3.88,388,613,1001
Self-Consistency,precise,1286,2775,20,6,3,3,2,3.96,283,614,897
Self-Consistency,default,1286,2392,20,6,4,3,1,3.47,283,531,814
Self-Consistency,creative,1286,2674,20,6,4,2,1,3.96,283,605,888
System Prompt,precise,828,3044,13,6,3,2,2,5.34,197,685,882
System Prompt,default,828,2378,11,5,3,2,2,3.71,197,509,706
System Prompt,creative,828,2409,21,8,4,2,2,3.94,197,541,738
Role Prompt,precise,1083,3110,25,10,3,2,1,4.16,237,668,905
Role Prompt,default,1083,3485,23,8,3,2,1,4.76,237,732,969
Role Prompt,creative,1083,3203,22,9,3,2,1,4.82,237,662,899
Contextual,precise,786,3058,23,10,3,2,2,4.25,185,639,824
Contextual,default,786,2546,20,10,3,2,2,3.48,185,553,738
Contextual,creative,786,2846,18,8,5,3,2,4.03,185,576,761
Tree of Thoughts,precise,1767,1492,14,6,3,2,2,2.53,399,322,721
Tree of Thoughts,default,1767,1952,17,7,3,2,2,3.46,399,420,819
Tree of Thoughts,creative,1767,2416,21,7,3,2,1,3.20,399,540,939
ReAct,precise,1833,1261,9,3,3,1,1,1.99,437,264,701
ReAct,default,1833,1144,9,3,3,2,1,1.63,437,235,672
ReAct,creative,1833,1286,9,3,3,1,1,2.10,437,270,707
