Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,596,1411,9,4,3,2,2,2.24,153,321,474
Zero-shot,default,596,1519,9,4,4,2,3,2.66,153,345,498
Zero-shot,creative,596,1268,9,4,3,2,3,2.14,153,292,445
Few-shot,precise,1488,3114,16,8,4,2,2,4.30,339,679,1018
Few-shot,default,1488,2834,18,8,4,3,2,3.70,339,655,994
Few-shot,creative,1488,2979,17,7,3,2,1,3.95,339,648,987
Chain-of-Thought,precise,1655,1592,14,6,3,2,2,2.45,383,361,744
Chain-of-Thought,default,1655,1827,15,7,4,3,2,2.66,383,415,798
Chain-of-Thought,creative,1655,1934,14,7,3,2,2,2.88,383,430,813
Self-Consistency,precise,1270,2192,18,9,3,2,2,3.25,278,528,806
Self-Consistency,default,1270,2114,15,6,4,2,2,3.16,278,488,766
Self-Consistency,creative,1270,2782,22,8,3,2,1,3.99,278,636,914
System Prompt,precise,812,2389,10,5,3,1,3,3.78,192,516,708
System Prompt,default,812,2066,10,5,4,2,3,3.14,192,433,625
System Prompt,creative,812,2274,10,5,5,2,4,3.32,192,521,713
Role Prompt,precise,1067,2466,20,10,3,1,1,3.55,232,537,769
Role Prompt,default,1067,2428,20,10,3,1,2,3.37,232,543,775
Role Prompt,creative,1067,2245,19,9,3,2,1,3.27,232,496,728
Contextual,precise,772,2224,11,6,5,2,3,3.62,181,485,666
Contextual,default,772,2450,12,6,4,3,3,3.54,181,527,708
Contextual,creative,772,1609,11,6,3,3,2,2.67,181,363,544
Tree of Thoughts,precise,1751,2085,20,10,3,2,2,3.60,394,500,894
Tree of Thoughts,default,1751,1756,11,5,5,1,2,2.93,394,393,787
Tree of Thoughts,creative,1751,1589,13,6,3,2,2,2.51,394,377,771
ReAct,precise,1817,1151,9,3,3,2,1,2.08,432,250,682
ReAct,default,1817,1436,9,3,3,2,2,2.56,432,301,733
ReAct,creative,1817,1271,9,3,3,2,2,2.24,432,276,708
