Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,606,1673,14,5,4,2,2,2.65,158,393,551
Zero-shot,default,606,1572,12,5,4,2,2,2.65,158,376,534
Zero-shot,creative,606,1627,13,5,5,3,2,2.55,158,383,541
Few-shot,precise,1498,3071,13,7,2,1,1,4.50,344,768,1112
Few-shot,default,1498,2641,16,7,3,1,1,3.98,344,660,1004
Few-shot,creative,1498,3375,18,8,2,1,2,4.71,344,776,1120
Chain-of-Thought,precise,1665,1608,18,6,4,2,2,2.74,388,399,787
Chain-of-Thought,default,1665,2147,23,5,3,2,1,3.27,388,542,930
Chain-of-Thought,creative,1665,1585,17,5,4,2,1,2.76,388,397,785
Self-Consistency,precise,1280,3688,29,8,3,1,1,5.42,283,891,1174
Self-Consistency,default,1280,4187,32,8,3,2,1,6.03,283,1010,1293
Self-Consistency,creative,1280,2840,23,9,3,2,1,4.29,283,666,949
System Prompt,precise,822,1955,15,6,4,1,3,3.30,197,468,665
System Prompt,default,822,2425,12,5,5,1,3,4.08,197,557,754
System Prompt,creative,822,2439,13,6,5,1,4,4.07,197,548,745
Role Prompt,precise,1077,2504,19,8,4,1,2,3.64,237,566,803
Role Prompt,default,1077,2549,19,9,2,1,1,3.74,237,573,810
Role Prompt,creative,1077,2239,25,10,3,1,1,3.76,237,549,786
Contextual,precise,786,2353,11,5,5,2,2,3.81,186,535,721
Contextual,default,786,1632,12,6,4,2,3,2.63,186,343,529
Contextual,creative,786,2117,11,5,3,1,2,3.07,186,489,675
Tree of Thoughts,precise,1761,1556,14,6,4,2,1,2.53,399,370,769
Tree of Thoughts,default,1761,1963,16,7,4,2,2,3.17,399,465,864
Tree of Thoughts,creative,1761,1673,16,7,3,2,2,2.56,399,380,779
ReAct,precise,1827,995,9,3,4,2,1,1.73,437,227,664
ReAct,default,1827,1032,9,3,3,3,2,1.91,437,241,678
ReAct,creative,1827,1170,9,3,4,2,2,2.18,437,260,697
