Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,628,1579,14,5,3,3,1,2.65,159,381,540
Zero-shot,default,628,1439,10,4,2,2,1,2.55,159,340,499
Zero-shot,creative,628,1378,9,4,4,2,2,2.65,159,317,476
Few-shot,precise,1520,3043,16,7,2,2,1,4.25,345,692,1037
Few-shot,default,1520,2597,13,5,3,2,1,3.73,345,592,937
Few-shot,creative,1520,3124,15,6,3,1,1,4.80,345,699,1044
Chain-of-Thought,precise,1687,1689,16,7,2,3,1,3.20,389,403,792
Chain-of-Thought,default,1687,1924,16,6,3,3,1,2.96,389,430,819
Chain-of-Thought,creative,1687,1831,14,5,2,1,1,3.33,389,424,813
Self-Consistency,precise,1302,1851,18,6,3,2,1,3.48,284,452,736
Self-Consistency,default,1302,2045,20,8,3,3,1,3.66,284,498,782
Self-Consistency,creative,1302,1829,15,6,3,1,1,3.06,284,428,712
System Prompt,precise,844,2488,11,5,4,3,3,3.68,198,530,728
System Prompt,default,844,2185,12,5,4,2,3,3.37,198,515,713
System Prompt,creative,844,2597,12,6,5,2,3,4.03,198,595,793
Role Prompt,precise,1099,2851,20,10,2,2,1,4.10,238,648,886
Role Prompt,default,1099,3526,25,10,2,2,1,4.94,238,790,1028
Role Prompt,creative,1099,3509,25,10,2,2,1,5.24,238,798,1036
Contextual,precise,807,1711,15,8,3,3,2,7.75,188,399,587
Contextual,default,807,1970,18,9,3,2,1,4.07,188,452,640
Contextual,creative,807,1902,19,10,3,2,1,3.68,188,455,643
Tree of Thoughts,precise,1783,1462,14,6,3,3,1,2.44,400,330,730
Tree of Thoughts,default,1783,1018,11,5,2,2,1,1.94,400,249,649
Tree of Thoughts,creative,1783,1548,13,5,3,3,1,2.57,400,347,747
ReAct,precise,1849,2511,18,6,4,3,2,3.45,438,552,990
ReAct,default,1849,1201,9,3,4,3,1,1.93,438,252,690
ReAct,creative,1849,1175,9,3,3,2,2,2.04,438,256,694
