Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,652,1862,10,5,5,1,4,3.23,162,380,542
Zero-shot,default,652,2134,13,5,4,1,2,3.36,162,432,594
Zero-shot,creative,652,1951,13,6,4,1,2,2.77,162,394,556
Few-shot,precise,1544,3459,20,10,3,1,1,4.86,348,742,1090
Few-shot,default,1544,4281,15,7,4,2,1,5.55,348,904,1252
Few-shot,creative,1544,3413,17,8,4,1,1,4.49,348,708,1056
Chain-of-Thought,precise,1711,2191,20,10,3,1,2,3.17,392,480,872
Chain-of-Thought,default,1711,2349,21,10,4,1,1,3.26,392,512,904
Chain-of-Thought,creative,1711,2052,17,7,4,1,2,2.97,392,443,835
Self-Consistency,precise,1326,4505,36,13,4,1,1,5.75,287,1003,1290
Self-Consistency,default,1326,2216,21,9,5,2,1,3.60,287,517,804
Self-Consistency,creative,1326,2239,20,8,3,1,1,3.61,287,515,802
System Prompt,precise,868,3087,11,5,5,1,2,4.41,201,692,893
System Prompt,default,868,3737,11,5,5,1,1,4.68,201,716,917
System Prompt,creative,868,3026,10,5,5,1,3,4.56,201,652,853
Role Prompt,precise,1123,3670,30,15,3,1,1,5.26,241,783,1024
Role Prompt,default,1123,3417,24,10,3,1,1,5.19,241,712,953
Role Prompt,creative,1123,2982,20,10,4,1,1,6.08,241,633,874
Contextual,precise,851,2246,14,7,5,1,3,4.99,193,457,650
Contextual,default,851,2718,13,7,5,2,2,4.04,193,540,733
Contextual,creative,851,2692,16,8,5,1,1,4.70,193,557,750
Tree of Thoughts,precise,1807,1210,12,6,3,1,2,7.12,403,270,673
Tree of Thoughts,default,1807,1328,12,6,3,1,2,2.16,403,303,706
Tree of Thoughts,creative,1807,2231,20,10,4,1,2,3.36,403,489,892
ReAct,precise,1873,1070,9,3,5,2,2,2.26,441,224,665
ReAct,default,1873,1083,9,3,4,2,1,2.12,441,225,666
ReAct,creative,1873,1245,9,3,4,2,2,1.99,441,241,682
