Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,640,1140,12,4,2,1,2,2.04,164,276,440
Zero-shot,default,640,1311,11,4,2,1,2,2.25,164,307,471
Zero-shot,creative,640,1688,15,6,2,1,2,2.73,164,392,556
Few-shot,precise,1532,2474,15,6,4,2,1,3.73,350,567,917
Few-shot,default,1532,1762,14,5,3,1,2,2.85,350,428,778
Few-shot,creative,1532,1810,12,5,4,1,2,2.83,350,445,795
Chain-of-Thought,precise,1699,1297,14,5,2,2,1,2.14,394,311,705
Chain-of-Thought,default,1699,1300,14,5,3,1,1,2.17,394,297,691
Chain-of-Thought,creative,1699,1435,14,5,3,1,1,2.67,394,337,731
Self-Consistency,precise,1314,2185,18,6,3,1,2,3.24,289,490,779
Self-Consistency,default,1314,2769,26,12,2,1,1,4.10,289,640,929
Self-Consistency,creative,1314,2130,21,9,2,1,1,3.21,289,491,780
System Prompt,precise,856,3286,9,4,5,2,1,4.41,203,653,856
System Prompt,default,856,1947,9,4,5,1,1,3.12,203,412,615
System Prompt,creative,856,2278,11,4,3,1,1,3.54,203,497,700
Role Prompt,precise,1111,1962,18,8,3,1,1,3.06,243,451,694
Role Prompt,default,1111,2294,20,10,4,1,1,3.40,243,515,758
Role Prompt,creative,1111,1994,17,8,3,1,1,2.96,243,441,684
Contextual,precise,814,2255,20,10,3,1,1,3.67,191,497,688
Contextual,default,814,2414,20,10,4,2,2,3.49,191,529,720
Contextual,creative,814,1720,14,8,4,2,2,2.65,191,372,563
Tree of Thoughts,precise,1795,1183,13,5,2,2,1,1.97,405,274,679
Tree of Thoughts,default,1795,1335,14,5,3,1,1,2.31,405,310,715
Tree of Thoughts,creative,1795,1129,12,5,2,1,1,2.14,405,265,670
ReAct,precise,1861,901,9,3,4,3,1,1.64,443,204,647
ReAct,default,1861,1875,18,6,2,2,1,2.75,443,446,889
ReAct,creative,1861,1034,9,3,3,3,1,1.83,443,233,676
