Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,581,1527,14,5,4,1,1,2.92,152,385,537
Zero-shot,default,581,1771,15,5,5,1,2,3.12,152,427,579
Zero-shot,creative,581,1837,15,6,4,1,2,3.32,152,443,595
Few-shot,precise,1473,3465,20,9,3,2,1,4.87,338,793,1131
Few-shot,default,1473,3256,13,5,3,2,1,4.69,338,757,1095
Few-shot,creative,1473,2697,17,7,3,2,1,4.04,338,660,998
Chain-of-Thought,precise,1640,1895,18,7,3,1,1,2.87,382,461,843
Chain-of-Thought,default,1640,1761,17,7,4,2,1,2.69,382,405,787
Chain-of-Thought,creative,1640,1736,17,7,4,1,1,3.06,382,421,803
Self-Consistency,precise,1255,2721,20,9,3,2,2,4.30,277,640,917
Self-Consistency,default,1255,2643,19,6,3,2,2,4.19,277,630,907
Self-Consistency,creative,1255,2247,17,6,4,1,1,3.37,277,507,784
System Prompt,precise,797,3231,10,5,3,1,1,4.40,191,674,865
System Prompt,default,797,3468,10,4,2,1,1,4.90,191,736,927
System Prompt,creative,797,2255,11,5,5,2,4,3.71,191,565,756
Role Prompt,precise,1052,2572,25,10,3,1,1,3.83,231,600,831
Role Prompt,default,1052,2505,24,9,3,1,1,3.54,231,571,802
Role Prompt,creative,1052,3110,22,10,3,1,1,4.47,231,703,934
Contextual,precise,780,2215,9,5,4,1,3,3.77,183,569,752
Contextual,default,780,1972,12,6,5,1,3,3.06,183,441,624
Contextual,creative,780,1786,14,7,4,2,1,7.88,183,399,582
Tree of Thoughts,precise,1736,1302,12,6,4,1,1,2.32,393,311,704
Tree of Thoughts,default,1736,1372,13,6,2,1,1,2.37,393,322,715
Tree of Thoughts,creative,1736,1802,16,6,2,1,1,2.88,393,421,814
ReAct,precise,1802,1095,9,3,2,1,1,1.92,431,241,672
ReAct,default,1802,1374,9,3,4,3,2,2.26,431,306,737
ReAct,creative,1802,1129,9,3,3,2,1,1.82,431,243,674
