Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,609,1478,12,6,4,2,2,2.25,159,327,486
Zero-shot,default,609,1565,13,6,4,2,2,2.55,159,338,497
Zero-shot,creative,609,1485,13,6,3,2,2,2.65,159,324,483
Few-shot,precise,1501,3319,19,9,4,1,1,4.71,345,717,1062
Few-shot,default,1501,3218,16,8,3,1,1,4.24,345,699,1044
Few-shot,creative,1501,3749,17,7,3,1,1,5.05,345,782,1127
Chain-of-Thought,precise,1668,2478,17,7,4,1,2,3.57,389,508,897
Chain-of-Thought,default,1668,1744,17,7,3,1,1,2.86,389,391,780
Chain-of-Thought,creative,1668,1765,16,7,3,1,1,2.82,389,383,772
Self-Consistency,precise,1283,1840,18,6,3,2,2,2.93,284,430,714
Self-Consistency,default,1283,2116,18,6,3,1,1,3.34,284,471,755
Self-Consistency,creative,1283,2203,20,9,3,1,2,3.37,284,500,784
System Prompt,precise,825,2196,10,5,5,1,3,3.37,198,480,678
System Prompt,default,825,1932,10,5,4,2,3,3.16,198,416,614
System Prompt,creative,825,2292,10,4,5,1,2,3.49,198,486,684
Role Prompt,precise,1080,3064,20,10,3,1,1,4.05,238,634,872
Role Prompt,default,1080,2571,20,10,3,1,2,3.71,238,545,783
Role Prompt,creative,1080,2915,20,10,3,1,1,3.98,238,608,846
Contextual,precise,785,2225,16,8,5,1,2,3.35,186,479,665
Contextual,default,785,1728,13,8,5,2,3,2.58,186,349,535
Contextual,creative,785,2972,14,8,4,2,2,4.55,186,703,889
Tree of Thoughts,precise,1764,1101,12,5,3,1,2,1.98,400,255,655
Tree of Thoughts,default,1764,1535,12,6,3,1,3,2.45,400,351,751
Tree of Thoughts,creative,1764,1089,10,5,4,1,3,1.92,400,230,630
ReAct,precise,1830,1447,9,3,5,2,2,2.37,438,314,752
ReAct,default,1830,1266,9,3,3,1,2,2.24,438,272,710
ReAct,creative,1830,1304,9,3,4,1,3,2.04,438,281,719
