Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,587,890,9,4,3,2,2,1.65,154,212,366
Zero-shot,default,587,1231,11,4,3,2,2,2.08,154,297,451
Zero-shot,creative,587,1171,12,5,3,2,2,2.08,154,291,445
Few-shot,precise,1479,2590,16,8,2,1,1,3.60,340,609,949
Few-shot,default,1479,2094,15,6,3,1,2,3.21,340,514,854
Few-shot,creative,1479,2243,16,7,3,1,1,3.64,340,549,889
Chain-of-Thought,precise,1646,1619,17,7,3,1,1,2.75,384,391,775
Chain-of-Thought,default,1646,1555,15,6,3,2,2,2.53,384,421,805
Chain-of-Thought,creative,1646,1365,13,6,4,2,3,2.39,384,344,728
Self-Consistency,precise,1261,2978,23,8,3,2,1,4.13,279,709,988
Self-Consistency,default,1261,2194,23,11,3,1,1,3.65,279,541,820
Self-Consistency,creative,1261,2562,23,9,3,2,1,4.46,279,619,898
System Prompt,precise,803,2013,11,5,4,1,2,3.34,193,479,672
System Prompt,default,803,1894,9,4,4,1,3,3.44,193,520,713
System Prompt,creative,803,2207,11,4,5,1,3,4.05,193,606,799
Role Prompt,precise,1058,1916,18,8,3,1,1,3.06,233,463,696
Role Prompt,default,1058,2099,20,10,3,1,1,3.70,233,492,725
Role Prompt,creative,1058,1997,20,8,3,1,1,2.95,233,468,701
Contextual,precise,786,2057,17,9,3,1,2,3.18,185,470,655
Contextual,default,786,2352,18,8,4,2,2,3.41,185,535,720
Contextual,creative,786,2163,16,8,4,1,2,3.52,185,510,695
Tree of Thoughts,precise,1742,1031,12,5,2,2,2,2.05,395,262,657
Tree of Thoughts,default,1742,1247,14,6,3,3,2,2.12,395,296,691
Tree of Thoughts,creative,1742,1286,13,5,2,1,2,2.33,395,319,714
ReAct,precise,1808,1849,18,6,2,2,1,2.80,433,458,891
ReAct,default,1808,918,9,3,4,2,2,1.65,433,220,653
ReAct,creative,1808,1126,9,3,3,2,1,1.80,433,253,686
