Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,632,1596,10,4,5,3,4,2.91,164,358,522
Zero-shot,default,632,1440,10,4,5,2,3,2.66,164,339,503
Zero-shot,creative,632,1889,14,6,5,2,3,3.13,164,427,591
Few-shot,precise,1524,2713,16,7,3,1,1,3.82,350,617,967
Few-shot,default,1524,2231,15,6,3,1,1,3.28,350,509,859
Few-shot,creative,1524,2138,14,6,3,2,2,3.46,350,519,869
Chain-of-Thought,precise,1691,1766,15,6,5,1,3,3.37,394,422,816
Chain-of-Thought,default,1691,1608,11,4,3,2,1,2.45,394,357,751
Chain-of-Thought,creative,1691,2023,15,7,5,2,2,3.17,394,460,854
Self-Consistency,precise,1306,2274,20,9,4,2,3,3.98,289,525,814
Self-Consistency,default,1306,2513,23,9,4,3,3,4.09,289,595,884
Self-Consistency,creative,1306,2252,20,6,3,1,2,3.57,289,544,833
System Prompt,precise,848,2464,12,5,4,1,3,3.99,203,586,789
System Prompt,default,848,2398,9,4,4,1,2,3.78,203,546,749
System Prompt,creative,848,2546,13,6,5,1,1,3.88,203,563,766
Role Prompt,precise,1103,2999,20,10,3,1,1,4.26,243,649,892
Role Prompt,default,1103,3070,20,10,3,1,1,4.02,243,658,901
Role Prompt,creative,1103,3220,20,10,4,1,1,4.28,243,659,902
Contextual,precise,811,2136,15,8,5,2,2,3.16,193,467,660
Contextual,default,811,2369,11,6,5,2,2,3.68,193,556,749
Contextual,creative,811,1985,13,7,5,3,2,3.06,193,435,628
Tree of Thoughts,precise,1787,1639,14,6,4,1,2,2.70,405,374,779
Tree of Thoughts,default,1787,1532,14,6,4,1,2,2.60,405,361,766
Tree of Thoughts,creative,1787,1548,15,7,4,1,2,2.69,405,347,752
ReAct,precise,1853,1074,9,3,5,2,1,1.81,443,238,681
ReAct,default,1853,1089,9,3,5,2,2,1.95,443,250,693
ReAct,creative,1853,1202,9,3,5,2,2,2.03,443,277,720
