Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,620,1203,13,5,3,1,2,2.06,158,289,447
Zero-shot,default,620,1025,10,4,5,1,1,1.91,158,242,400
Zero-shot,creative,620,1570,10,4,4,2,2,2.66,158,348,506
Few-shot,precise,1512,2868,14,7,3,1,1,4.18,344,675,1019
Few-shot,default,1512,2817,17,7,3,3,2,3.92,344,641,985
Few-shot,creative,1512,2695,16,6,4,3,2,3.86,344,626,970
Chain-of-Thought,precise,1679,1396,14,6,4,2,1,2.34,388,324,712
Chain-of-Thought,default,1679,1507,16,6,3,2,2,2.66,388,375,763
Chain-of-Thought,creative,1679,1931,16,6,5,3,2,3.17,388,457,845
Self-Consistency,precise,1294,2026,18,6,3,2,2,3.55,283,504,787
Self-Consistency,default,1294,2462,19,8,3,2,2,4.11,283,597,880
Self-Consistency,creative,1294,2771,21,8,4,1,1,4.19,283,653,936
System Prompt,precise,836,3143,10,4,3,2,1,4.50,197,663,860
System Prompt,default,836,1895,12,6,5,1,3,3.26,197,441,638
System Prompt,creative,836,1877,11,5,5,1,3,3.06,197,425,622
Role Prompt,precise,1091,2363,20,10,3,2,1,3.20,237,510,747
Role Prompt,default,1091,2718,21,10,3,2,1,3.89,237,595,832
Role Prompt,creative,1091,2196,17,7,3,1,2,3.33,237,489,726
Contextual,precise,799,2146,14,8,3,2,2,3.08,187,481,668
Contextual,default,799,1835,13,7,4,2,2,2.84,187,396,583
Contextual,creative,799,2067,17,10,4,2,1,3.02,187,460,647
Tree of Thoughts,precise,1775,1203,15,5,3,2,1,2.08,399,296,695
Tree of Thoughts,default,1775,1136,12,5,5,2,2,2.04,399,266,665
Tree of Thoughts,creative,1775,1374,14,6,3,1,1,2.35,399,327,726
ReAct,precise,1841,899,9,3,3,1,1,1.94,437,217,654
ReAct,default,1841,1259,9,3,5,2,3,2.24,437,291,728
ReAct,creative,1841,845,9,3,2,1,1,1.84,437,205,642
