Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,574,1130,9,4,5,2,3,2.04,148,257,405
Zero-shot,default,574,1259,10,4,4,2,3,2.36,148,298,446
Zero-shot,creative,574,1650,9,4,5,1,3,2.56,148,351,499
Few-shot,precise,1466,3015,16,7,3,1,1,4.29,334,682,1016
Few-shot,default,1466,2932,14,6,4,2,2,4.12,334,630,964
Few-shot,creative,1466,3016,16,6,4,1,2,4.15,334,671,1005
Chain-of-Thought,precise,1633,1809,17,6,3,1,1,2.96,378,414,792
Chain-of-Thought,default,1633,1301,14,6,4,1,2,2.24,378,310,688
Chain-of-Thought,creative,1633,2018,17,7,3,1,1,3.06,378,458,836
Self-Consistency,precise,1248,1873,18,6,3,1,2,2.95,273,447,720
Self-Consistency,default,1248,1934,15,6,3,1,2,2.97,273,450,723
Self-Consistency,creative,1248,2211,18,9,3,1,2,3.59,273,516,789
System Prompt,precise,790,2181,10,5,5,1,3,3.37,187,476,663
System Prompt,default,790,2596,10,5,2,1,1,4.99,187,793,980
System Prompt,creative,790,2676,9,4,4,1,2,4.15,187,656,843
Role Prompt,precise,1045,2873,23,10,3,1,1,4.54,227,650,877
Role Prompt,default,1045,2906,20,10,3,1,2,4.16,227,635,862
Role Prompt,creative,1045,2852,20,10,3,1,1,4.11,227,602,829
Contextual,precise,750,1838,16,8,3,2,2,3.16,176,438,614
Contextual,default,750,1762,11,6,4,2,1,2.86,176,393,569
Contextual,creative,750,1917,9,5,4,1,3,3.28,176,489,665
Tree of Thoughts,precise,1729,1467,13,6,4,1,1,2.53,389,335,724
Tree of Thoughts,default,1729,3140,30,8,2,2,2,4.41,389,739,1128
Tree of Thoughts,creative,1729,1309,15,5,3,2,1,2.36,389,313,702
ReAct,precise,1795,819,9,3,3,1,1,1.51,427,190,617
ReAct,default,1795,769,9,3,3,2,1,1.52,427,183,610
ReAct,creative,1795,1601,18,6,3,2,1,2.56,427,372,799
