Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,601,1382,15,5,3,2,1,2.62,157,350,507
Zero-shot,default,601,1831,12,5,3,2,1,2.81,157,437,594
Zero-shot,creative,601,1454,14,5,4,1,2,2.62,157,365,522
Few-shot,precise,1493,3300,18,8,4,2,2,5.01,343,772,1115
Few-shot,default,1493,3447,17,7,3,1,1,5.25,343,829,1172
Few-shot,creative,1493,3725,16,7,3,1,1,5.48,343,854,1197
Chain-of-Thought,precise,1660,1618,17,7,3,2,2,2.75,387,412,799
Chain-of-Thought,default,1660,1632,18,8,3,2,2,2.96,387,415,802
Chain-of-Thought,creative,1660,1588,17,7,3,2,2,2.76,387,394,781
Self-Consistency,precise,1275,2363,21,7,3,2,2,3.68,282,604,886
Self-Consistency,default,1275,3339,38,13,3,1,1,4.89,282,861,1143
Self-Consistency,creative,1275,2586,21,7,3,1,1,4.63,282,642,924
System Prompt,precise,817,3099,12,5,5,2,4,4.70,196,726,922
System Prompt,default,817,2302,12,5,3,2,2,3.81,196,540,736
System Prompt,creative,817,3020,11,4,3,2,2,4.48,196,719,915
Role Prompt,precise,1072,2647,25,10,3,2,1,4.15,236,623,859
Role Prompt,default,1072,2093,24,10,3,2,1,3.42,236,539,775
Role Prompt,creative,1072,3321,29,12,3,2,1,4.96,236,801,1037
Contextual,precise,772,2022,18,10,4,1,1,3.47,185,500,685
Contextual,default,772,1883,16,8,3,2,2,3.34,185,453,638
Contextual,creative,772,1597,13,6,4,2,2,2.88,185,389,574
Tree of Thoughts,precise,1756,1263,18,8,4,1,2,2.46,398,355,753
Tree of Thoughts,default,1756,1206,15,6,4,1,1,2.24,398,310,708
Tree of Thoughts,creative,1756,1123,15,6,3,1,1,2.29,398,300,698
ReAct,precise,1822,998,9,3,4,2,1,1.93,436,243,679
ReAct,default,1822,1889,18,6,4,2,1,2.71,436,444,880
ReAct,creative,1822,3095,18,6,5,1,4,4.63,436,694,1130
