Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,617,1607,10,4,3,1,2,2.66,153,349,502
Zero-shot,default,617,1673,10,4,4,1,2,2.77,153,397,550
Zero-shot,creative,617,1530,10,4,4,2,2,2.47,153,339,492
Few-shot,precise,1509,6476,20,10,2,1,1,8.37,339,1393,1732
Few-shot,default,1509,3494,18,8,3,1,1,5.00,339,766,1105
Few-shot,creative,1509,4441,21,10,2,1,1,5.71,339,977,1316
Chain-of-Thought,precise,1676,2383,17,7,2,1,1,3.60,383,519,902
Chain-of-Thought,default,1676,1803,15,5,2,1,1,2.83,383,400,783
Chain-of-Thought,creative,1676,2253,19,8,3,1,1,3.39,383,510,893
Self-Consistency,precise,1291,2294,21,6,2,2,1,3.40,278,514,792
Self-Consistency,default,1291,2493,21,9,3,2,2,3.62,278,565,843
Self-Consistency,creative,1291,3615,28,8,4,1,2,4.50,278,805,1083
System Prompt,precise,833,2817,11,5,3,1,1,5.04,192,672,864
System Prompt,default,833,3476,16,6,3,1,2,4.87,192,716,908
System Prompt,creative,833,3244,12,5,4,1,2,5.11,192,760,952
Role Prompt,precise,1088,3281,20,10,2,1,1,4.39,232,679,911
Role Prompt,default,1088,3291,24,10,2,1,1,4.70,232,713,945
Role Prompt,creative,1088,3370,20,10,2,1,1,4.58,232,724,956
Contextual,precise,797,2035,12,6,3,1,1,3.20,181,444,625
Contextual,default,797,2196,13,7,3,2,2,3.36,181,483,664
Contextual,creative,797,2095,11,6,3,1,2,3.68,181,445,626
Tree of Thoughts,precise,1772,1518,14,6,2,1,2,2.77,394,359,753
Tree of Thoughts,default,1772,2481,17,8,2,1,1,6.40,394,563,957
Tree of Thoughts,creative,1772,1693,10,5,4,1,3,2.78,394,361,755
ReAct,precise,1838,1296,9,3,3,2,1,2.23,432,261,693
ReAct,default,1838,1283,9,3,3,1,1,2.68,432,258,690
ReAct,creative,1838,1352,9,3,4,2,1,1.94,432,254,686
