Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,567,1014,9,4,3,3,1,1.74,147,238,385
Zero-shot,default,567,1797,15,6,3,3,2,2.64,147,406,553
Zero-shot,creative,567,978,8,3,3,2,2,1.65,147,220,367
Few-shot,precise,1459,2439,13,6,3,1,1,3.76,333,579,912
Few-shot,default,1459,1735,9,3,3,1,1,2.66,333,408,741
Few-shot,creative,1459,2136,11,5,3,2,1,3.07,333,479,812
Chain-of-Thought,precise,1626,1546,14,5,3,2,1,2.44,377,355,732
Chain-of-Thought,default,1626,1336,13,5,3,2,1,2.45,377,310,687
Chain-of-Thought,creative,1626,2000,19,8,3,2,1,3.17,377,468,845
Self-Consistency,precise,1241,1638,15,6,3,2,2,2.52,272,396,668
Self-Consistency,default,1241,1555,17,6,3,2,2,2.62,272,378,650
Self-Consistency,creative,1241,2441,23,8,3,2,1,3.60,272,595,867
System Prompt,precise,783,2504,9,4,3,2,1,3.59,186,539,725
System Prompt,default,783,2310,11,5,5,2,2,3.29,186,541,727
System Prompt,creative,783,2278,10,5,4,2,3,3.48,186,488,674
Role Prompt,precise,1038,2850,25,10,2,2,1,4.20,226,665,891
Role Prompt,default,1038,2265,19,9,3,2,1,3.63,226,531,757
Role Prompt,creative,1038,2651,16,6,4,2,1,3.81,226,559,785
Contextual,precise,743,2091,13,7,5,3,3,3.16,175,452,627
Contextual,default,743,1694,10,5,5,3,3,2.90,175,402,577
Contextual,creative,743,2204,12,7,4,1,1,3.13,175,480,655
Tree of Thoughts,precise,1722,1495,15,6,3,2,1,2.45,388,358,746
Tree of Thoughts,default,1722,1576,14,6,2,2,1,2.55,388,363,751
Tree of Thoughts,creative,1722,1138,11,5,2,2,1,1.94,388,270,658
ReAct,precise,1788,1007,9,3,3,3,1,1.85,426,223,649
ReAct,default,1788,945,9,3,4,3,2,1.72,426,209,635
ReAct,creative,1788,1007,9,3,2,2,1,1.94,426,225,651
