Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,620,1333,12,5,4,2,2,2.14,159,298,457
Zero-shot,default,620,1332,11,4,5,1,2,2.34,159,308,467
Zero-shot,creative,620,1401,11,4,4,1,2,2.25,159,315,474
Few-shot,precise,1512,2873,14,6,4,1,2,4.01,345,670,1015
Few-shot,default,1512,2926,15,6,4,1,1,3.76,345,642,987
Few-shot,creative,1512,2723,14,7,4,1,2,3.85,345,606,951
Chain-of-Thought,precise,1679,1756,16,6,3,2,1,2.55,389,396,785
Chain-of-Thought,default,1679,1616,14,5,3,2,2,2.68,389,361,750
Chain-of-Thought,creative,1679,1837,16,6,3,2,1,2.86,389,410,799
Self-Consistency,precise,1294,2461,22,8,3,2,1,3.78,284,565,849
Self-Consistency,default,1294,2773,26,11,4,1,1,3.89,284,666,950
Self-Consistency,creative,1294,4146,34,12,4,1,2,5.92,284,987,1271
System Prompt,precise,836,3027,10,4,3,2,2,4.08,198,622,820
System Prompt,default,836,3340,9,4,3,1,2,4.70,198,683,881
System Prompt,creative,836,2875,9,4,3,1,3,4.29,198,617,815
Role Prompt,precise,1091,2679,25,10,3,1,1,3.99,238,635,873
Role Prompt,default,1091,2603,20,10,2,1,1,3.77,238,612,850
Role Prompt,creative,1091,2603,21,10,3,1,2,4.10,238,603,841
Contextual,precise,799,1741,18,7,3,1,1,2.77,188,422,610
Contextual,default,799,2021,17,7,3,2,2,3.04,188,479,667
Contextual,creative,799,2019,11,6,5,2,3,3.29,188,438,626
Tree of Thoughts,precise,1775,3048,28,6,3,2,1,3.86,400,699,1099
Tree of Thoughts,default,1775,1513,14,6,3,1,1,2.50,400,343,743
Tree of Thoughts,creative,1775,3366,34,8,3,2,1,4.64,400,797,1197
ReAct,precise,1841,951,9,3,3,1,2,1.94,438,213,651
ReAct,default,1841,1274,9,3,4,2,2,2.15,438,281,719
ReAct,creative,1841,1092,9,3,3,2,1,2.03,438,248,686
