Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,656,1766,12,4,3,2,2,3.13,166,412,578
Zero-shot,default,656,1373,12,4,4,2,2,2.37,166,325,491
Zero-shot,creative,656,2130,23,6,3,2,1,3.60,166,528,694
Few-shot,precise,1548,2542,22,8,4,2,1,3.81,352,623,975
Few-shot,default,1548,2335,17,6,4,2,1,3.71,352,566,918
Few-shot,creative,1548,2569,22,7,4,2,1,3.70,352,641,993
Chain-of-Thought,precise,1715,2148,22,6,3,2,1,3.21,396,512,908
Chain-of-Thought,default,1715,2616,26,6,3,3,1,4.04,396,604,1000
Chain-of-Thought,creative,1715,2384,22,7,3,2,1,3.68,396,549,945
Self-Consistency,precise,1330,2858,22,7,3,2,1,4.20,291,631,922
Self-Consistency,default,1330,1917,20,6,2,2,1,2.85,291,451,742
Self-Consistency,creative,1330,3785,39,14,2,3,1,5.13,291,875,1166
System Prompt,precise,872,2371,12,5,5,2,5,3.61,205,512,717
System Prompt,default,872,3097,17,7,4,1,3,4.85,205,696,901
System Prompt,creative,872,2469,13,5,4,2,2,3.79,205,593,798
Role Prompt,precise,1127,3024,37,12,3,2,1,4.69,245,756,1001
Role Prompt,default,1127,3625,37,12,3,2,1,5.05,245,837,1082
Role Prompt,creative,1127,2665,28,10,3,2,1,4.04,245,624,869
Contextual,precise,838,2522,14,7,4,2,2,4.30,194,618,812
Contextual,default,838,2630,16,8,5,2,5,4.49,194,609,803
Contextual,creative,838,2746,18,9,4,2,1,3.98,194,611,805
Tree of Thoughts,precise,1811,1487,16,7,3,2,1,2.32,407,358,765
Tree of Thoughts,default,1811,1336,15,5,3,3,1,2.27,407,310,717
Tree of Thoughts,creative,1811,1549,15,6,3,2,1,2.49,407,357,764
ReAct,precise,1877,1087,9,3,4,2,1,1.84,445,234,679
ReAct,default,1877,1219,9,3,3,3,1,2.00,445,259,704
ReAct,creative,1877,1282,9,3,3,2,1,1.91,445,277,722
