Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,670,1949,22,7,2,1,1,3.61,164,490,654
Zero-shot,default,670,1751,19,6,2,2,1,2.87,164,419,583
Zero-shot,creative,670,1432,13,5,4,2,1,2.62,164,330,494
Few-shot,precise,1562,3844,17,8,2,1,1,6.46,350,951,1301
Few-shot,default,1562,2775,17,8,3,2,1,4.48,350,662,1012
Few-shot,creative,1562,3641,17,6,3,2,1,4.87,350,801,1151
Chain-of-Thought,precise,1729,1924,20,6,3,2,1,3.41,394,444,838
Chain-of-Thought,default,1729,2229,20,8,3,2,1,3.38,394,479,873
Chain-of-Thought,creative,1729,2189,23,8,3,2,1,3.56,394,487,881
Self-Consistency,precise,1344,1856,19,6,2,1,1,3.17,289,428,717
Self-Consistency,default,1344,2370,21,6,2,2,1,4.19,289,555,844
Self-Consistency,creative,1344,2314,22,6,2,2,1,3.67,289,528,817
System Prompt,precise,886,2025,12,5,4,2,2,3.35,203,417,620
System Prompt,default,886,2620,11,5,4,2,3,4.42,203,580,783
System Prompt,creative,886,2239,12,5,5,2,1,3.58,203,537,740
Role Prompt,precise,1141,2453,25,10,3,2,1,3.88,243,567,810
Role Prompt,default,1141,2655,24,10,3,2,1,4.08,243,582,825
Role Prompt,creative,1141,2913,23,10,3,2,1,4.53,243,621,864
Contextual,precise,852,2376,18,9,4,3,2,3.64,192,522,714
Contextual,default,852,2378,16,8,5,2,4,3.68,192,516,708
Contextual,creative,852,2823,15,7,2,2,1,4.16,192,592,784
Tree of Thoughts,precise,1825,1267,14,6,3,2,1,2.38,405,304,709
Tree of Thoughts,default,1825,1546,16,6,2,1,1,2.51,405,345,750
Tree of Thoughts,creative,1825,1952,16,6,3,2,1,3.11,405,442,847
ReAct,precise,1891,1041,9,3,4,2,1,1.83,443,216,659
ReAct,default,1891,1147,9,3,2,2,1,2.36,443,244,687
ReAct,creative,1891,1332,9,3,4,3,1,2.54,443,269,712
