Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,571,1316,12,4,3,3,1,2.11,149,285,434
Zero-shot,default,571,1250,9,3,4,2,1,1.82,149,259,408
Zero-shot,creative,571,1748,12,5,3,2,1,2.69,149,369,518
Few-shot,precise,1463,3179,18,8,3,3,1,4.19,335,689,1024
Few-shot,default,1463,3822,16,7,3,2,1,5.11,335,806,1141
Few-shot,creative,1463,3212,11,5,3,2,1,4.50,335,725,1060
Chain-of-Thought,precise,1630,1793,14,5,4,3,1,2.52,379,376,755
Chain-of-Thought,default,1630,1701,14,5,3,3,1,2.43,379,350,729
Chain-of-Thought,creative,1630,1557,13,5,4,4,1,2.39,379,334,713
Self-Consistency,precise,1245,2456,21,6,2,2,1,3.79,274,575,849
Self-Consistency,default,1245,2010,19,6,3,2,1,3.06,274,464,738
Self-Consistency,creative,1245,2537,20,7,3,2,2,3.70,274,573,847
System Prompt,precise,787,3587,10,4,3,2,1,4.68,188,722,910
System Prompt,default,787,2051,12,5,3,3,1,3.06,188,440,628
System Prompt,creative,787,3965,10,4,5,3,5,5.73,188,789,977
Role Prompt,precise,1042,3365,24,10,3,2,1,4.50,228,692,920
Role Prompt,default,1042,2645,18,7,3,2,1,3.56,228,559,787
Role Prompt,creative,1042,3005,19,8,4,2,1,3.89,228,599,827
Contextual,precise,747,2710,20,10,4,3,2,3.78,177,592,769
Contextual,default,747,2141,17,9,3,3,1,2.94,177,441,618
Contextual,creative,747,1875,15,8,4,2,1,3.08,177,414,591
Tree of Thoughts,precise,1726,1895,16,6,3,2,1,2.89,390,415,805
Tree of Thoughts,default,1726,1451,16,6,3,1,1,2.29,390,337,727
Tree of Thoughts,creative,1726,1706,15,5,2,2,1,2.78,390,378,768
ReAct,precise,1792,1099,9,3,3,3,1,1.73,428,226,654
ReAct,default,1792,1224,9,3,3,3,1,2.11,428,261,689
ReAct,creative,1792,1033,9,3,4,4,1,1.69,428,221,649
