Strategy,Config,Prompt Length,Response Length,FR Count,NFR Count,Specificity Score,Testability Score,Measurability Score,Latency (seconds),Prompt Tokens ,Completion Tokens ,Total Tokens 
Zero-shot,precise,632,1564,11,5,2,2,2,2.63,159,360,519
Zero-shot,default,632,1339,10,4,4,1,1,2.19,159,307,466
Zero-shot,creative,632,1132,9,4,5,2,3,1.98,159,255,414
Few-shot,precise,1524,3096,17,8,3,1,1,4.32,345,700,1045
Few-shot,default,1524,3117,16,8,3,1,1,4.51,345,704,1049
Few-shot,creative,1524,2938,16,8,2,1,1,4.69,345,691,1036
Chain-of-Thought,precise,1691,1502,12,5,3,1,1,2.45,389,334,723
Chain-of-Thought,default,1691,1726,13,6,3,2,2,2.76,389,389,778
Chain-of-Thought,creative,1691,1477,14,6,2,1,2,2.23,389,322,711
Self-Consistency,precise,1306,1943,18,6,3,2,2,3.15,284,470,754
Self-Consistency,default,1306,2359,20,9,3,2,1,3.41,284,510,794
Self-Consistency,creative,1306,2184,19,6,3,2,1,3.09,284,483,767
System Prompt,precise,848,1908,11,5,4,1,3,3.23,198,466,664
System Prompt,default,848,1652,9,4,3,1,3,3.26,198,449,647
System Prompt,creative,848,3243,11,5,2,1,1,4.51,198,672,870
Role Prompt,precise,1103,3025,25,10,3,1,1,4.05,238,652,890
Role Prompt,default,1103,2879,22,10,3,2,1,4.33,238,651,889
Role Prompt,creative,1103,3120,22,10,2,1,1,4.39,238,674,912
Contextual,precise,806,2047,15,8,4,3,2,3.26,186,428,614
Contextual,default,806,2016,14,7,4,2,2,3.17,186,434,620
Contextual,creative,806,2420,12,7,5,1,3,3.91,186,522,708
Tree of Thoughts,precise,1787,1373,12,6,3,2,2,2.34,400,314,714
Tree of Thoughts,default,1787,1288,12,5,2,1,1,2.29,400,314,714
Tree of Thoughts,creative,1787,1592,12,6,3,2,2,2.56,400,349,749
ReAct,precise,1853,1332,9,3,3,2,1,2.30,438,288,726
ReAct,default,1853,1435,9,3,3,2,1,2.26,438,305,743
ReAct,creative,1853,1279,9,3,3,2,1,2.20,438,285,723
